bg_id,id,value,bayesaverage
174430,5496,1,8.47885
174430,5497,1,8.46667
161936,5496,2,8.42739
161936,5497,3,8.42327
224517,5497,2,8.45421
167791,5497,6,8.24917
291457,5496,3,8.31216
291457,5497,5,8.26834
233078,5496,4,8.30368
233078,5497,4,8.28996
220308,5497,7,8.22579
187645,5496,6,8.20669
162886,5497,10,8.13106
182028,5497,8,8.17489
115746,4664,1,8.24715
115746,5496,5,8.20805
193738,5497,9,8.14048
12333,4664,2,8.22919
12333,5497,11,8.09094
169786,5497,13,8.02839
316554,5496,8,8.03674
316554,5497,12,8.054
84876,5497,15,8.00525
167355,5496,9,8.01363
173346,5497,20,7.94696
124361,5497,18,7.98877
28720,5497,14,8.01397
120677,5497,19,7.96488
177736,5497,17,7.9897
266192,5497,25,7.88692
266192,5499,1,7.95786
205637,4667,1,8.01875
205637,5496,12,7.94129
183394,5497,26,7.88437
237182,4664,16,7.71888
237182,5497,30,7.87168
164928,5497,21,7.9168
199792,5497,33,7.85405
199792,5499,3,7.89865
266507,5496,7,8.14918
96848,5496,15,7.85793
96848,5497,31,7.86969
312484,5497,29,7.87701
312484,5499,2,7.90858
246900,5497,16,8.00183
175914,5497,24,7.88846
3076,5497,39,7.81689
102794,5497,35,7.83702
170216,5497,41,7.7941
285774,4667,2,7.84315
192135,5496,11,7.96247
192135,5497,28,7.87707
31260,5497,43,7.78661
251247,5497,23,7.88972
276025,5497,32,7.86767
247763,5497,34,7.84751
221107,5496,14,7.8899
221107,5497,37,7.83314
205059,5496,16,7.80775
256960,5497,27,7.88203
284083,5499,4,7.80692
185343,5497,40,7.8166
126163,5497,46,7.75624
2651,5497,52,7.72944
55690,5496,13,7.90736
216132,5497,44,7.76777
184267,5497,38,7.82221
164153,5496,20,7.74575
209010,5496,17,7.78321
209010,5497,48,7.73924
35677,5497,49,7.73782
180263,5496,19,7.748
244521,5499,7,7.72468
342942,5497,22,7.90068
125153,5497,45,7.76489
521,5499,6,7.74616
161533,5497,42,7.79391
230802,4666,2,7.67537
230802,5499,8,7.68898
72125,5497,56,7.68471
25613,5497,53,7.72003
266810,5497,51,7.73243
191189,5497,54,7.6891
124742,4667,3,7.75103
28143,5497,61,7.65083
314040,5496,10,7.99657
314040,5497,36,7.83629
201808,5497,64,7.62952
201808,5499,9,7.65829
159675,5497,47,7.73961
121921,5496,25,7.62239
229853,5497,55,7.6864
157354,5497,63,7.63281
171623,5497,58,7.66302
68448,5497,73,7.58801
68448,5499,11,7.62059
200680,5497,57,7.66448
110327,5497,75,7.58553
62219,5497,59,7.65839
182874,5497,60,7.65489
236457,5497,70,7.59577
122515,5497,67,7.61825
264220,5496,21,7.72902
324856,5499,5,7.7823
93,5497,68,7.60794
18602,5497,71,7.59136
37111,5496,29,7.55566
12493,5496,27,7.58428
12493,5497,83,7.55568
73439,5497,72,7.58932
40834,5497,85,7.55111
269385,5496,24,7.62513
170042,5497,79,7.56503
172386,5497,66,7.62101
146021,5496,30,7.54263
203993,5497,69,7.60474
205896,5497,91,7.53872
295947,4666,1,7.74348
295947,5499,10,7.65729
281259,5497,84,7.55195
281259,5499,12,7.59956
163412,4666,5,7.52046
163412,5499,13,7.54311
42,5497,88,7.54429
144733,5497,77,7.57804
225694,5498,1,7.62759
284378,5497,50,7.7352
102680,5497,80,7.56496
155821,5497,94,7.52714
178900,5498,2,7.52197
132531,5497,99,7.50789
36218,5497,110,7.45243
233371,5497,89,7.54067
172287,5497,97,7.51897
218417,5497,62,7.64373
263918,5499,14,7.53045
30549,5497,123,7.39965
30549,5499,17,7.46315
198928,5497,90,7.53904
196340,5497,82,7.56412
163068,5497,78,7.57325
2511,5496,34,7.50874
253344,5496,23,7.68572
175155,5497,86,7.54973
127023,5497,102,7.49942
266524,5499,15,7.51738
175640,5497,65,7.6224
262712,5497,100,7.50033
255984,5496,18,7.7636
317985,5497,76,7.58505
233398,5497,87,7.54562
4098,5497,92,7.53738
161970,5497,109,7.46233
146652,5496,32,7.53424
147020,5497,121,7.4047
118048,5497,106,7.47027
103885,4664,52,7.38995
103885,4667,9,7.39919
34635,5497,118,7.41967
34635,5499,22,7.45314
271324,5497,105,7.48589
274364,5497,96,7.52204
43015,5497,103,7.49258
14996,5499,24,7.43416
233867,5499,19,7.45902
148949,5497,117,7.42814
148949,5499,21,7.45328
77423,4667,6,7.50332
244522,5499,18,7.46072
287954,4666,3,7.5673
287954,5499,16,7.49503
104162,5496,44,7.41792
43111,5496,36,7.46848
43111,5497,116,7.43245
9609,4664,22,7.64323
9609,5496,33,7.52441
254640,5498,3,7.51691
220877,5497,108,7.4644
217372,5499,20,7.45402
82222,5496,31,7.53427
82222,5497,107,7.46707
256916,5497,74,7.58565
283948,5497,93,7.53492
54043,5499,27,7.40539
231733,5496,26,7.62003
231733,5497,81,7.56467
150376,5496,51,7.34255
10630,4664,64,7.32498
128882,5498,9,7.3523
17133,5497,113,7.44114
282524,5496,41,7.44054
282524,5499,23,7.44069
463,4667,20,7.24256
308765,5497,95,7.5234
296151,5497,104,7.4902
155426,5497,129,7.38424
265188,5497,101,7.50011
39463,5496,61,7.30553
39463,5497,147,7.33022
70149,5497,111,7.44917
221194,5496,45,7.41255
221194,5497,127,7.39529
103343,5497,144,7.33801
188920,5496,38,7.4488
279537,5497,98,7.50813
199561,4666,10,7.31751
199561,5499,28,7.38163
25021,4664,5,7.82586
14105,4664,21,7.65433
123260,5497,133,7.36687
31627,5499,25,7.42553
195421,5496,37,7.45426
189932,5497,112,7.44649
283155,4666,8,7.43695
283155,5499,26,7.42327
104006,5497,134,7.36487
171131,5496,50,7.3499
171131,5498,6,7.39042
21050,4664,8,7.77309
126042,5497,124,7.39894
182631,5497,125,7.39668
245638,5497,122,7.40156
249259,4666,6,7.47974
223321,5496,42,7.42371
91,4664,3,7.91209
224037,5499,30,7.37808
239188,5496,48,7.36851
148228,5499,36,7.31855
188,4666,14,7.21062
268864,4664,35,7.46589
268864,5496,40,7.44319
12,5497,138,7.34883
242302,5499,31,7.37708
146886,5497,128,7.38727
215,5497,135,7.35623
822,5499,40,7.2989
146508,5496,54,7.33282
9209,5499,39,7.30146
209418,5497,139,7.34778
54998,5497,157,7.31138
306735,5497,131,7.37741
129437,5496,64,7.29477
176189,5496,58,7.31337
109276,5497,119,7.41591
7854,4666,4,7.56203
194655,4666,12,7.27336
194655,5499,41,7.29785
188834,5498,14,7.23952
283355,5496,39,7.44461
283355,5497,132,7.37389
169426,5497,158,7.30859
232832,5497,153,7.31621
232832,5499,34,7.36182
156129,5498,10,7.3509
9216,5497,136,7.35566
555,5497,146,7.33199
318977,5499,29,7.38012
192291,5499,42,7.29473
158600,5499,35,7.32498
155068,5496,49,7.3518
271055,5497,114,7.43934
199478,5499,38,7.3054
198994,4667,21,7.23325
198994,5497,176,7.26165
293014,5497,140,7.34725
293014,5499,32,7.37682
31481,5496,75,7.259
328871,5497,141,7.34625
20551,5497,159,7.30571
176494,5497,171,7.27774
176494,5499,43,7.29362
118,5497,167,7.28851
128621,5497,155,7.31199
27833,5497,145,7.3344
421,5497,126,7.39547
241451,5496,28,7.56506
241451,5497,120,7.41292
19857,5497,162,7.3013
27708,5497,151,7.32283
140620,5497,165,7.29204
228341,5497,142,7.34443
3,5497,170,7.27806
269207,5497,168,7.28336
127060,5497,154,7.31571
235802,5496,22,7.7119
235802,5497,115,7.43519
204583,5499,47,7.237
155873,5497,130,7.38187
108745,5497,184,7.23503
92828,5498,11,7.28739
24181,5497,156,7.31187
274637,5497,164,7.29427
295486,5497,150,7.32628
295486,5499,33,7.36351
271896,5496,52,7.33851
144344,5497,163,7.30072
97207,5496,71,7.26662
97207,5497,179,7.24993
165722,5498,7,7.37792
165722,5499,37,7.31153
760,5497,186,7.23462
286096,5497,188,7.22955
232405,5496,56,7.31678
181279,5496,72,7.26618
22545,5497,172,7.27217
176734,5497,148,7.3287
154203,5497,201,7.20785
38453,5496,77,7.23448
223040,5499,44,7.28363
66589,5497,169,7.27961
224783,5497,161,7.30208
2655,4666,18,7.14398
206718,5497,182,7.24193
19777,5497,137,7.35539
300531,5496,55,7.32185
300531,5497,174,7.26727
93260,4667,16,7.269
93260,5497,197,7.2136
222509,5497,177,7.25779
193037,5496,67,7.28588
203420,5496,66,7.28812
294484,5497,152,7.31831
160477,4666,17,7.16137
59294,5496,59,7.3077
59294,5497,185,7.23483
48726,5497,196,7.21446
54138,5497,166,7.29027
246784,5497,192,7.22629
246784,5499,46,7.24923
13122,5497,143,7.3435
227224,5497,173,7.26839
46213,5498,13,7.25092
146439,4664,55,7.37704
