id,name
1022,Adventure
1020,Exploration
1010,Fantasy
1046,Fighting
1047,Miniatures
1084,Environmental
2145,Medical
1021,Economic
1088,Industry / Manufacturing
2710,Post-Napoleonic
1011,Transportation
1016,Science Fiction
1113,Space Exploration
1086,Territory Building
1015,Civilization
1026,Negotiation
1001,Political
1019,Wargame
1102,Civil War
1064,Movies / TV / Radio theme
2726,Age of Reason
1082,Mythology
1070,Renaissance
1002,Card Game
1093,Novel-based
1055,American West
1089,Animals
1069,Modern Warfare
1017,Dice
1035,Medieval
1024,Horror
1050,Ancient
1029,City Building
1008,Nautical
1013,Farming
1028,Puzzle
1094,Educational
1044,Collectible Components
1115,Religious
1097,Travel
1116,Comic Book / Strip
1090,Pirates
1040,Murder/Mystery
1081,Spies/Secret Agents
1118,Mature / Adult
1101,Video Game Theme
1032,Action / Dexterity
1009,Abstract Strategy
1023,Bluffing
1052,Arabian
1036,Prehistoric
1039,Deduction
1034,Trains
1030,Party Game
1025,Word Game
2650,Aviation / Flight
1098,Number
1031,Racing
2481,Zombies
1049,World War II
2725,Pike and Shot
1037,Real-time
1065,World War I
1079,Humor
1120,Print & Play
1038,Sports
1072,Electronic
1059,Maze
1033,Mafia
1108,American Indian Wars
1042,Expansion for Base-game
1051,Napoleonic
1041,Children's Game
1075,American Revolutionary War
1045,Memory
1048,American Civil War
1109,Vietnam War
1104,Math
1027,Trivia
1054,Music
1091,Korean War
1119,Game System
1117,Book
2687,Fan Expansion
