bg_id,id
84876,271320
120677,181289
120677,356238
164928,171905
199792,319422
96848,248562
3076,108687
3076,318985
3076,165332
185343,232900
185343,278292
244521,326869
244521,349955
121921,334931
121921,270716
93,301201
93,171908
93,147170
172386,195850
203993,338476
144733,329591
155821,321563
178900,272910
36218,142131
36218,142132
36218,149083
172287,314550
163068,255668
255984,331259
147020,298628
147020,355199
147020,216123
34635,260678
271324,295260
43015,286749
14996,329841
148949,251219
9609,60153
150376,176601
123260,343588
195421,332032
189932,336847
188,35863
188,7159
188,2883
215,313051
822,142057
822,141008
822,141007
822,140711
822,164127
822,230914
822,161729
822,154094
822,147782
822,89952
822,329954
822,301201
822,160094
822,316344
9209,160069
209418,216849
209418,275626
31481,140068
20551,176103
128621,156455
232405,313924
2655,154597
48726,174610
187617,325941
163967,186659
40692,140135
45315,161617
129622,209167
129622,202937
129622,152961
70919,319765
119890,255262
192458,357726
25554,213984
250458,319196
24480,309109
31594,214000
244271,266967
244271,266966
244271,266964
244271,266965
244271,268191
63888,185257
70323,336755
244711,351735
161614,282391
66188,139991
66188,290829
215341,247113
215341,247114
96913,170815
194607,308762
158899,341504
171,195274
171,169776
171,7159
171,149072
171,96628
171,157432
171,188909
98778,70918
98778,272743
98778,290357
95527,289843
123123,317637
13,17419
13,298278
13,305668
13,338697
13,182880
13,191710
13,269980
13,265030
13,152959
875,276502
21790,151377
156009,331265
97842,201856
6249,45358
6249,326355
6249,140709
6249,251830
151022,174458
151022,186567
297562,336849
159508,289223
39938,177352
258210,347521
117959,269476
290236,337329
131357,306656
131357,158408
119432,255924
121408,169814
50750,255524
107529,139993
107529,229130
107529,257180
266121,332229
266121,332230
266121,341008
260180,319031
30380,216727
113294,157820
113294,232894
432,246912
123540,155731
123540,186375
163839,259586
162007,331992
73761,307621
69789,261588
69789,158976
2398,12541
143515,149707
220520,330021
40628,261720
181687,325293
177590,267317
45,7159
45,157432
217780,249703
204472,215946
220517,283887
279613,327913
279613,331952
279613,331953
1465,329131
216459,303961
218479,236781
108784,180616
201921,316183
207830,332312
254386,319375
25669,197614
25669,134824
95064,158976
228328,288316
150999,274466
66056,250619
66056,203219
185589,187926
163154,308967
228504,281073
6830,13454
315767,322045
91536,259571
159473,194778
71671,147190
291508,315953
230933,302189
216092,213460
104020,193927
278,22766
278,250661
187377,349177
187377,219774
143884,175239
143884,185817
175324,315366
173090,182453
244536,266219
38159,144464
154386,181327
177802,334627
43443,278693
43443,337394
251412,300129
134253,343013
25821,168680
132372,169814
233961,314349
188547,275564
243759,334310
9220,143147
9220,294508
180040,216725
216091,213460
163413,315252
63268,158850
63268,163499
127024,212956
223770,312763
264982,277448
175223,274466
204505,349943
204505,241853
9446,147154
229491,286326
109125,206236
15818,245200
2397,7159
2397,2883
2397,186430
2397,149072
2397,96628
2397,12499
3955,128666
3955,345203
3955,30933
3955,153967
152,344176
122294,180616
245354,239307
41933,174226
5206,173270
148951,314759
148951,314758
312267,343383
312267,343384
312267,343385
1499,255484
1499,150446
915,153912
230889,329996
1544,15471
230303,228867
8098,345793
8098,39103
8098,149726
175307,188818
138233,213788
2393,7159
198487,339244
230305,228867
38386,155246
270109,314530
1887,215506
240567,329434
180852,316180
267271,308388
1107,32928
210274,334479
157026,241203
266966,268191
266966,244271
49,176068
128667,326844
266083,336936
238656,316182
169318,288378
140,155986
34585,209872
163,15471
298229,331992
66214,276202
6887,18272
320,160001
320,147369
320,237073
559,329946
158339,142039
257283,313163
144864,213788
252877,278398
6819,18272
245352,239307
266965,268191
266965,244271
198138,337796
216094,213460
266967,268191
266967,244271
215463,261901
309430,310203
204286,257089
45748,164127
45748,160500
266964,268191
266964,244271
103649,291752
62871,224035
299121,299122
158340,142039
256,260927
185123,261588
216658,339244
216199,334627
331787,334889
128445,153703
280032,327242
224272,347802
168679,207370
191301,265840
259061,317191
197065,274466
168274,181209
149809,211514
217776,245952
35505,159517
198707,343013
272409,285998
245353,239307
250780,282673
253185,328636
124668,302882
230769,263178
322289,328413
30539,159517
4583,18272
274533,288010
1917,130775
172155,241203
96749,38361
96749,39815
96749,34334
5205,173270
200456,261588
19996,316975
155708,316181
221248,283151
2932,5811
2932,349795
185709,275259
2389,150620
226631,319800
216381,316217
25071,182561
33643,260897
247436,282673
56885,168680
12346,316975
285036,340913
140125,173259
252688,337796
156266,299104
156266,175707
140863,165469
304051,327890
75547,249889
193953,351487
274037,314019
265017,335239
155,32928
135116,169814
135116,215506
275974,310779
31503,305055
149787,235473
204728,317637
277458,291833
203828,267317
2228,144845
258412,254226
179448,283151
258411,254226
3464,256885
38749,191710
249814,336292
257096,312728
4505,202821
215616,341554
205885,246912
230191,279643
253215,313791
125050,316177
15889,12541
15889,9587
112869,193288
18803,154727
18803,283119
3243,192814
3243,159908
6688,18272
3406,4385
431,163105
14634,13454
14634,187988
95,60056
313473,336936
322561,291794
320527,291794
40107,321537
58099,163105
58099,140709
4112,2883
4112,231266
4112,14369
34004,218471
258413,254226
6955,2704
3661,17728
13123,18272
282171,299815
250779,282673
2448,2883
2448,96628
198832,277980
3463,256885
184700,205960
154880,352060
195709,283151
257601,134311
56796,148641
155702,259571
176334,211323
267304,339526
789,4385
5770,209223
188188,295021
144325,193286
144325,171199
308621,321720
236301,322394
253743,277405
193483,323104
193483,283198
322563,291794
225,13454
225,347606
25491,163105
963,163105
266445,315044
10167,227650
7843,323529
20750,154727
20750,283119
322562,291794
118410,244919
153625,23417
153625,94017
230304,228867
266444,315044
30166,272710
30166,260206
13084,13454
13084,187988
144566,62143
144566,68190
117995,158850
117995,163499
275589,335436
5833,323529
186904,295503
197178,264719
12194,193254
140795,209167
159143,264897
144567,189882
83325,54859
83325,34403
164158,264897
125048,288663
213661,316171
253368,313965
244258,257645
230265,351638
193265,331265
1927,190553
1927,145534
1927,184513
1927,145535
182116,310602
1549,129442
26946,168421
63975,218471
5677,9151
161681,318852
320718,359527
284195,315044
192830,264719
230273,341554
256422,255211
34166,218471
164159,264897
133405,299971
152241,152242
33767,169776
33767,340033
34169,318657
5217,20741
217547,4385
229315,338370
161757,260126
980,168421
25314,200430
25314,4385
161108,192663
316287,317030
142557,217428
142557,249036
176980,222988
18723,154883
11733,9587
34747,175619
34747,147200
296986,315046
