bg_id,id
174430,59218
174430,25158
174430,65191
174430,66335
174430,68438
174430,7005
174430,5615
174430,8374
174430,73596
174430,45610
174430,24281
174430,25404
174430,75241
174430,72224
174430,5666
161936,64952
161936,65191
161936,3430
161936,24281
161936,25404
161936,61854
161936,72224
161936,63526
161936,63524
161936,63525
161936,62881
161936,66167
161936,62899
224517,17519
224517,14759
224517,8374
224517,22135
224517,70948
224517,26397
224517,57499
224517,50152
224517,4705
224517,66445
167791,64952
167791,65191
167791,46915
167791,27646
167791,5666
167791,49694
167791,19298
167791,10169
167791,66167
291457,59218
291457,62475
291457,25158
291457,65191
291457,66335
291457,45610
291457,24281
291457,25404
291457,75241
291457,72224
291457,5666
233078,67874
233078,64949
233078,25158
233078,29
233078,12210
220308,26432
220308,66553
220308,64949
220308,70360
220308,27646
220308,72487
220308,5666
187645,61206
187645,64949
187645,25158
187645,66335
187645,5602
162886,66553
162886,64960
162886,25158
162886,68769
162886,8374
162886,46174
162886,5666
162886,21622
182028,70360
182028,57498
182028,27646
115746,4263
115746,64960
115746,25158
115746,5615
115746,5723
193738,7530
193738,19132
193738,66553
193738,68769
193738,14835
193738,54030
193738,27646
193738,37838
193738,43676
12333,64952
12333,65191
12333,18581
12333,14835
12333,51380
12333,46190
12333,61979
12333,72016
12333,62881
12333,68723
169786,66553
169786,64960
169786,63523
169786,63519
169786,63520
169786,63521
169786,25158
169786,68769
169786,8374
169786,70948
169786,38432
169786,12210
169786,27646
169786,72487
169786,5666
169786,26464
169786,37870
169786,63004
316554,5838
316554,59705
316554,5666
84876,64960
84876,11006
84876,70360
84876,70361
84876,70354
84876,57501
84876,27646
84876,65851
84876,57997
84876,58
167355,59218
167355,65328
167355,25158
167355,66140
167355,5679
167355,8374
167355,57925
167355,5666
173346,27524
173346,72535
173346,52373
173346,70360
173346,17552
173346,39540
173346,27646
173346,65851
173346,61979
173346,62276
124361,5606
124361,64960
124361,70361
124361,28722
124361,58955
28720,18587
28720,64960
28720,14759
28720,22135
28720,57499
28720,50152
28720,66445
120677,26432
120677,66553
120677,64960
120677,68769
120677,70360
120677,70948
120677,70354
120677,26098
120677,27646
177736,24571
177736,68769
177736,10314
177736,70360
177736,54213
177736,27646
177736,5666
177736,3866
177736,5841
177736,5613
266192,45672
266192,7657
266192,7306
266192,18887
266192,18588
266192,17963
266192,66553
266192,65328
266192,66772
266192,48877
266192,70948
266192,58267
266192,27646
266192,72487
266192,5666
266192,59442
266192,48871
205637,5337
205637,41421
205637,24281
205637,5666
205637,4311
205637,5141
205637,62258
183394,66553
183394,68769
183394,11515
183394,70360
183394,70948
183394,8496
183394,23988
183394,5666
183394,73689
237182,45672
237182,7334
237182,7544
237182,7269
237182,6507
237182,58093
237182,66553
237182,64960
237182,64990
237182,66140
237182,68769
237182,8374
237182,55566
237182,65851
237182,65154
237182,65774
237182,48871
164928,26568
164928,64960
164928,11006
164928,8374
164928,28659
164928,70948
164928,38433
164928,65851
164928,75169
199792,18983
199792,19070
199792,45672
199792,7544
199792,7760
199792,21462
199792,7269
199792,7835
199792,18588
199792,17168
199792,7668
199792,7366
199792,5607
199792,64990
199792,68769
199792,8374
199792,70948
199792,57493
199792,27646
199792,59705
199792,5666
199792,65774
199792,48871
266507,25158
266507,7005
266507,22861
266507,48927
266507,24281
266507,25404
266507,72224
266507,62899
96848,18459
96848,25158
96848,65191
96848,5666
96848,33758
312484,70360
312484,70354
312484,5666
312484,21940
312484,51732
246900,66553
246900,48877
246900,21459
246900,12210
175914,18193
175914,70706
175914,5841
175914,71573
3076,68769
3076,10656
3076,70360
3076,9958
3076,27646
3076,58
3076,21622
3076,18319
102794,7530
102794,7349
102794,7542
102794,7481
102794,73592
102794,64990
102794,68769
102794,43538
102794,5666
102794,3866
102794,21425
170216,66553
170216,68558
170216,64960
170216,25158
170216,5615
170216,8374
170216,70360
170216,53502
170216,62773
170216,5613
285774,5337
285774,5338
285774,58605
285774,27646
285774,5666
285774,17935
192135,65328
192135,8374
192135,50928
192135,5666
31260,7530
31260,7523
31260,7379
31260,7481
31260,64990
31260,68769
31260,70361
31260,3865
31260,27646
31260,69363
31260,5666
31260,3866
31260,5841
251247,66553
251247,8374
251247,70948
251247,57497
251247,5666
251247,37870
276025,63093
276025,57981
276025,21622
276025,66553
276025,64960
276025,65191
276025,63194
276025,5666
276025,74823
276025,18319
247763,70354
247763,27646
247763,5666
247763,66105
221107,64952
221107,3430
221107,24281
221107,25404
221107,72224
221107,41799
221107,62899
205059,59218
205059,65328
205059,41489
205059,25158
205059,66140
205059,57505
205059,5666
205059,4311
205059,5141
205059,73290
205059,61993
256960,10632
256960,8374
256960,56858
256960,58172
256960,27646
256960,5666
256960,44079
284083,70360
284083,70948
284083,63179
284083,24281
284083,19298
185343,25158
185343,8374
185343,70948
185343,56990
185343,27646
185343,5666
185343,41799
185343,6258
126163,61274
126163,10642
126163,70360
126163,70361
126163,60542
126163,62428
126163,43639
126163,18319
2651,64960
2651,68769
