bg_id,id
161936,221107
161936,30549
224517,28720
167791,328871
167791,296108
233078,12493
220308,120677
182028,25613
115746,9609
193738,341169
169786,226320
84876,191977
84876,232988
173346,68448
124361,256916
28720,65901
28720,224517
120677,220308
183394,128621
164928,287275
266507,201808
96848,182340
246900,72125
3076,8217
3076,166669
102794,220520
102794,31260
170216,23985
31260,200680
31260,119890
31260,255262
31260,210625
31260,205418
31260,102794
221107,314040
221107,30549
221107,161936
205059,83330
256960,287682
256960,155255
256960,198843
284083,324856
2651,33434
2651,39336
2651,155873
2651,203780
2651,106662
2651,12166
164153,17226
164153,104162
180263,286063
180263,283317
244521,354886
161533,262477
230802,346965
230802,256226
230802,287954
72125,246900
25613,182028
191189,352179
124742,1301
28143,205597
28143,255692
28143,132531
314040,30549
314040,221107
201808,233371
201808,266507
121921,192455
171623,283948
68448,316377
68448,173346
68448,346703
200680,31260
62219,262941
62219,96260
122515,252446
122515,205507
324856,284083
18602,284818
18602,27364
37111,340466
12493,233078
12493,26055
73439,284584
40834,209419
170042,301880
146021,257499
146021,15987
281259,338460
163412,264239
163412,246639
42,19419
42,244114
284378,328124
284378,109276
178900,301628
132531,28143
36218,209418
36218,184207
233371,201808
30549,314040
30549,161936
30549,221107
30549,260428
30549,329670
30549,301919
30549,198928
30549,192153
30549,234671
30549,150658
30549,342848
198928,30549
196340,264637
196340,335736
175155,22827
127023,297562
127023,336849
175640,42052
233398,33160
4098,17133
4098,27833
146652,129437
147020,179303
147020,198994
103885,155689
103885,139771
103885,252328
34635,191004
271324,327711
14996,218208
14996,9209
233867,281075
233867,339789
233867,260937
148949,235488
77423,349067
244522,354892
244522,316546
244522,269210
287954,346965
287954,230802
287954,256226
104162,164153
104162,17226
9609,115746
254640,241611
220877,318553
256916,124361
283948,171623
10630,551
128882,316287
128882,317030
128882,162890
128882,163322
128882,41114
17133,142303
17133,68228
17133,4098
282524,343562
155426,258036
155426,326945
155426,223278
265188,66362
39463,298572
39463,313010
39463,204837
39463,15
39463,40529
39463,40531
221194,318009
221194,317457
103343,6472
14105,209003
14105,62222
14105,259066
123260,343588
123260,267367
31627,9209
104006,172381
171131,231819
126042,157809
223321,355276
223321,293531
223321,329713
223321,299255
224037,249821
239188,300300
239188,302098
239188,302312
148228,293296
268864,290359
12,59753
12,35503
12,12589
146886,341945
146886,195528
822,6779
822,230751
822,41010
822,206940
822,348685
822,163370
822,4390
822,182082
822,256065
822,147303
822,180564
822,7717
822,12902
822,16216
822,131014
822,34615
822,30662
9209,258140
9209,244525
9209,309113
9209,14996
9209,205125
9209,225244
9209,276894
9209,21348
9209,253284
9209,31627
9209,202670
9209,34127
209418,36218
306735,273779
129437,195571
129437,174570
129437,146652
129437,256874
129437,285157
129437,200171
129437,210290
176189,113924
109276,328124
109276,284378
194655,315631
194655,9963
283355,341165
283355,121
232832,209685
318977,338834
192291,133473
158600,322339
155068,179803
155068,257193
198994,147020
31481,336794
328871,167791
20551,226562
20551,109125
20551,3307
118,40381
128621,183394
27833,4098
19857,175199
19857,128063
3,35634
204583,281960
204583,260941
204583,340041
155873,2651
92828,138547
24181,54138
274637,3284
295486,351476
295486,359394
144344,296100
165722,270131
760,297985
760,340252
760,372
181279,20963
22545,173442
22545,187785
154203,270844
154203,270836
154203,73369
223040,359152
223040,347117
222509,340865
294484,3284
59294,25
54138,24181
46213,173761
46213,153016
46213,216798
46213,302463
146439,25417
187617,39232
187617,57804
172081,286537
139976,326485
209685,232832
234,227460
163967,317105
163967,285826
54,325923
136888,314580
40692,140135
40692,309630
40692,60
260605,153938
129622,198522
129622,200699
129622,304285
129622,158340
129622,158339
129622,277085
129622,196326
129622,175307
129622,168584
129622,339905
129622,189504
129622,169611
129622,198740
129622,294648
129622,353470
129622,324415
129622,300802
257499,15987
257499,146021
181304,301767
181304,113997
2653,24037
2653,315048
2653,177147
59959,190082
176920,18258
21241,238393
39856,284007
39856,307090
39856,329845
41114,316287
41114,128882
37046,285984
119890,31260
188866,319078
199042,254192
199042,282418
172,318709
192458,73369
182134,155703
17392,242722
17392,41066
8217,166669
8217,3076
50,34585
50,244795
24480,67593
33160,233398
9217,156943
144592,345155
144592,275913
186751,331398
186751,125996
204305,6266
256226,346965
256226,287954
256226,230802
21348,119637
21348,9209
70323,160499
70323,293141
40765,299659
155987,276042
260428,30549
166669,3076
166669,8217
166669,165355
236191,65781
36932,257518
71,184424
121,283355
121,341165
121,173486
121,104363
54625,165838
54625,63091
243,1035
215311,932
269210,316546
269210,244522
15987,257499
15987,146021
15987,34
55670,314582
66188,292013
215341,53953
215341,142961
215341,116998
245655,341870
100901,74596
128671,168512
79828,197320
79828,133632
34219,164506
34219,300523
34219,333553
34219,122943
270844,154203
27162,199966
27162,271349
27162,154509
15985,212445
15985,318472
15985,3071
15985,2288
15985,712
372,38387
372,760
372,297985
372,300930
372,340252
372,322864
66362,265188
11170,167698
192153,30549
105134,349769
105134,181
18833,3201
150658,30549
25417,146439
25417,67492
62222,14105
150,14254
246684,344768
157969,298638
157969,3705
157969,22237
157969,104640
5404,354568
5404,232303
17226,104162
17226,164153
17226,10640
83330,205059
83330,206547
712,212445
712,15985
712,356631
712,2288
136063,245271
136063,65244
146791,322984
341169,193738
158899,299027
233312,256883
478,205398
478,130060
15062,129904
13,123386
13,38749
13,103091
13,244144
13,67239
13,25234
13,161527
13,194097
13,284815
13,147240
13,3972
13,282853
13,172994
13,13831
13,229218
