bg_id,id
174430,295770
174430,291457
291457,295770
291457,174430
12333,300192
167355,310100
192135,347811
192135,235802
185343,329933
191189,241451
191189,299317
191189,270633
191189,218417
124742,345976
40834,36218
40834,209418
170042,176371
170042,75547
178900,205158
178900,220775
178900,224037
178900,249821
178900,220774
178900,198773
178900,290028
36218,40834
218417,191189
218417,241451
218417,299317
218417,270633
263918,315767
263918,322045
2511,307511
2511,223931
2511,204305
2511,296345
2511,238065
2511,6266
146652,195571
146652,174570
147020,182631
147020,230253
103885,183562
77423,259970
217372,271615
150376,193037
17133,214988
463,240480
463,242690
463,242694
463,231392
463,242693
463,242692
463,289793
463,289787
463,289792
463,289789
463,289790
463,289788
463,282781
463,283160
463,314377
463,183750
463,210402
463,203381
463,210396
463,210412
463,210400
463,210390
463,248927
463,210397
463,210410
463,210405
463,210401
463,238506
463,210465
463,210399
463,210406
463,207905
463,212298
463,265960
463,297821
463,310723
463,342089
463,280890
463,218575
463,242683
463,242689
463,281319
463,277273
463,312887
463,303552
463,281318
463,256727
221194,247236
195421,172818
182631,147020
182631,298628
182631,355199
182631,230253
224037,178900
822,45748
822,358124
209418,40834
129437,252985
129437,156689
176189,224710
176189,250534
7854,2346
7854,527
7854,217083
7854,19764
7854,108
7854,31999
7854,7854
7854,528
169426,254708
232832,312318
232832,283619
155068,179803
155068,181524
155068,223136
241451,191189
241451,299317
241451,270633
241451,218417
235802,192135
235802,347811
204583,232043
92828,39856
92828,121288
274637,295564
274637,335764
274637,315060
274637,294484
274637,326937
274637,326934
274637,354544
274637,284778
274637,284777
274637,325635
274637,326933
274637,274638
274637,326936
93260,58281
93260,158889
93260,260837
93260,82420
93260,82421
193037,150376
294484,295564
294484,274637
294484,335764
294484,315060
294484,326937
294484,326934
294484,354544
294484,284778
294484,284777
294484,325635
294484,326933
294484,274638
294484,326936
209685,270970
209685,242574
40692,97786
172818,185589
172818,195421
101721,172503
21241,43262
39856,121288
39856,92828
163745,322750
163745,322751
156546,283151
156546,255249
156546,283152
156546,179448
156546,195709
156546,217644
156546,221248
230253,147020
230253,298628
230253,182631
230253,355199
230253,216123
244271,268201
244271,216734
244271,291794
244271,320527
244271,348406
186751,331398
204305,223931
204305,2511
204305,270213
270633,191189
270633,241451
270633,299317
270633,218417
170771,262201
71,143347
71,131240
198773,178900
198773,205158
198773,220775
198773,220774
198773,290028
243,58601
243,306919
124708,179820
298047,336382
251658,314088
251658,352606
11170,24703
11170,54361
11170,27976
146791,212346
146791,273655
146791,150997
146791,322985
146791,273654
158899,192766
123123,298528
123123,162388
123123,204728
123123,174400
123123,89409
127398,198287
97786,40692
245654,306881
245654,306882
245654,251678
102652,220609
31999,2346
31999,527
31999,217083
31999,19764
31999,108
31999,7854
31999,528
147949,204431
147949,286927
147949,255293
147949,180956
147949,163166
232043,204583
156009,193265
97842,181796
6249,25491
256952,310448
84419,145976
2346,527
2346,31999
2346,7854
183562,103885
160010,212245
274638,295564
274638,274637
274638,335764
274638,315060
274638,294484
274638,326937
274638,326934
274638,354544
274638,284778
274638,284777
274638,325635
274638,326933
274638,326936
205359,234931
257501,272453
257501,316080
257501,301607
257501,351113
257501,285775
113924,336636
113924,137988
113924,161866
247367,358981
216734,268201
216734,268191
216734,320527
216734,244271
216734,266967
216734,266966
216734,266964
216734,266965
216734,348406
1513,64222
1513,148057
130960,300323
121408,157001
163166,204431
163166,286927
163166,255293
163166,180956
163166,147949
1353,320582
58281,158889
58281,82420
58281,93260
58281,82421
224710,176189
121288,39856
121288,92828
150997,146791
150997,322984
150997,212346
150997,273655
150997,273654
116998,142961
116998,152765
116998,140951
318184,318182
134726,122522
134726,216199
134726,198487
134726,358515
134726,177802
134726,306697
134726,160018
134726,162559
134726,247724
134726,168917
134726,151004
134726,241225
134726,143185
134726,216658
134726,274590
134726,266938
155624,235544
181521,225766
162007,298229
239942,342444
242574,270970
242574,209685
73761,147624
69789,200456
69789,341554
69789,144864
69789,172155
69789,249552
69789,261321
69789,185123
69789,215616
69789,122294
69789,157026
69789,95064
69789,138233
69789,108784
69789,230273
69789,241203
69789,213788
69789,180616
256382,352764
256382,331050
256382,284760
256382,299047
256382,271518
270970,242574
270970,209685
179803,155068
179803,181524
179803,223136
271518,256382
271518,352764
271518,331050
271518,284760
271518,299047
36235,331747
36235,170901
2163,8630
137988,113924
137988,161866
170416,252399
110277,170318
284760,256382
284760,352764
284760,331050
284760,299047
284760,271518
158889,58281
158889,82420
158889,93260
158889,82421
91872,126008
91872,124969
91872,124965
91872,122588
91872,124968
91872,59946
91872,172220
91872,228668
91872,264196
91872,66356
218333,91514
251678,306881
251678,306882
251678,245654
12002,136056
179275,224821
528,527
528,31999
528,7854
51,191543
148575,246895
148575,138649
148575,186772
148575,173294
148575,182770
148575,295574
148575,160902
148575,183482
148575,183572
148575,268355
148575,268356
148575,298345
148575,168998
148575,244196
