bg_id,id
174430,2689
174430,2839
174430,2018
174430,2857
174430,2893
174430,2023
174430,2854
174430,3004
174430,2664
174430,2676
174430,2040
174430,2026
174430,2824
174430,2011
174430,2846
174430,2028
174430,2822
174430,2020
174430,2819
174430,2027
174430,2015
161936,2001
161936,2023
161936,2040
161936,2824
161936,2078
161936,2004
161936,2008
161936,2015
224517,2040
224517,2902
224517,2904
224517,2900
224517,2081
224517,2849
224517,2826
224517,2897
167791,2984
167791,2912
167791,2043
167791,2875
167791,2850
167791,2040
167791,2026
167791,2902
167791,2846
167791,2004
167791,2819
167791,2686
167791,2849
167791,2002
167791,2828
167791,2015
167791,2897
167791,2874
291457,2689
291457,2839
291457,2018
291457,2893
291457,2023
291457,2854
291457,3004
291457,2676
291457,2040
291457,2026
291457,2824
291457,2975
291457,2846
291457,2822
291457,2020
291457,2819
291457,2015
233078,2838
233078,2080
233078,2021
233078,2072
233078,2843
233078,2676
233078,2026
233078,2914
233078,2886
233078,2011
233078,2849
233078,2008
233078,2079
233078,2015
233078,2897
233078,2017
220308,2912
220308,2875
220308,2026
220308,2902
220308,2011
220308,2081
220308,2819
220308,2849
220308,2830
220308,2015
220308,2897
220308,2874
187645,2080
187645,2046
187645,2021
187645,2857
187645,2912
187645,2901
187645,2072
187645,2856
187645,2850
187645,2040
187645,2967
187645,2902
187645,2846
187645,2070
187645,2686
187645,2019
187645,2015
187645,2897
162886,2839
162886,2080
162886,2903
162886,2018
162886,2023
162886,2850
162886,2040
162886,2011
162886,2004
162886,2020
162886,2819
162886,2015
162886,2897
182028,2001
182028,2012
182028,2924
182028,2850
182028,2902
182028,2041
182028,2686
115746,2080
115746,2046
115746,2018
115746,2857
115746,2072
115746,2850
115746,2040
115746,2967
115746,2947
115746,2070
115746,2019
115746,2897
193738,2664
193738,2040
193738,2911
193738,2078
193738,2813
193738,2004
193738,2939
193738,2897
12333,2840
12333,2847
12333,2080
12333,2018
12333,2072
12333,2850
12333,2040
12333,2070
12333,2020
12333,2884
12333,2888
169786,2838
169786,2857
169786,2912
169786,2875
169786,2864
169786,2676
169786,2026
169786,2886
169786,2947
169786,2851
169786,2819
169786,2686
169786,2849
169786,2015
169786,2897
169786,2874
169786,2974
316554,2857
316554,2664
316554,2864
316554,2041
316554,2819
316554,2686
316554,2828
316554,2015
316554,2082
84876,2072
84876,2875
84876,2978
84876,2026
84876,2048
84876,2004
84876,2002
84876,2826
84876,2897
84876,2935
167355,2018
167355,2023
167355,2072
167355,2891
167355,2011
167355,2685
167355,2820
167355,2819
167355,2019
167355,2814
167355,2015
173346,3001
173346,2041
173346,2004
173346,2884
173346,2888
124361,2839
124361,2847
124361,2924
124361,2664
124361,2875
124361,2040
124361,2987
124361,2947
124361,2041
124361,2078
124361,2004
124361,2897
28720,2040
28720,2902
28720,2904
28720,2900
28720,2081
28720,2849
28720,2826
120677,2875
120677,2026
120677,2902
120677,2914
120677,2081
120677,2849
120677,2830
120677,2015
120677,2897
120677,2874
177736,2903
177736,2072
177736,2978
177736,2902
177736,2661
177736,2819
177736,2002
177736,2830
177736,2082
266192,2912
266192,2072
266192,2875
266192,2040
266192,2846
266192,2041
266192,2004
266192,2819
266192,2828
205637,2001
205637,2046
205637,2893
205637,2023
205637,3004
205637,2850
205637,2040
205637,2961
205637,2011
205637,2661
205637,2028
205637,2822
205637,2819
205637,2853
205637,2015
183394,2912
183394,2040
183394,2819
183394,2827
183394,2874
183394,2082
183394,2933
237182,2689
237182,2839
237182,2080
237182,2046
237182,2072
237182,2040
237182,2078
237182,2876
237182,2884
237182,2015
237182,2897
164928,2912
164928,2664
164928,2875
164928,2850
164928,2078
164928,2020
164928,2849
164928,2828
164928,2897
199792,2912
199792,2875
199792,2040
199792,2902
199792,2041
199792,2911
199792,2004
199792,2819
199792,2897
199792,2082
266507,2664
266507,2875
266507,2850
266507,2824
266507,2959
266507,2947
266507,2851
266507,2846
266507,2041
266507,2007
266507,2685
266507,2078
266507,2661
266507,2822
266507,2004
266507,2015
266507,2897
96848,2023
96848,2664
96848,2072
96848,2676
96848,2040
96848,2026
96848,2011
96848,2041
96848,2028
96848,2819
96848,2015
312484,2664
312484,2962
312484,2846
312484,2041
312484,2948
312484,2819
312484,2828
312484,2082
246900,2916
246900,2080
246900,2046
246900,2021
246900,2854
246900,2072
246900,2676
246900,2902
246900,2871
246900,2011
246900,2835
246900,2685
246900,2849
246900,2002
246900,2015
175914,2901
175914,2902
175914,2900
175914,2011
175914,2041
175914,2020
175914,2874
3076,2838
3076,2875
3076,2843
3076,2987
3076,2914
3076,2828
3076,2079
102794,2903
102794,2914
102794,2819
102794,2002
102794,2829
102794,2082
170216,2001
170216,2080
170216,2046
170216,2857
170216,2984
170216,2040
170216,2960
170216,2047
170216,2041
170216,2020
285774,2023
285774,3004
285774,2040
285774,2822
285774,2819
285774,2015
285774,2897
192135,2023
192135,2664
192135,2072
192135,2856
192135,2040
192135,2948
192135,2028
192135,2822
192135,2819
192135,2853
192135,2849
192135,2833
192135,2015
31260,2903
31260,2043
31260,2040
31260,2914
31260,2819
31260,2829
31260,2015
31260,2082
251247,2838
251247,2912
251247,2875
251247,2902
251247,2081
251247,2819
251247,2826
251247,2015
251247,2897
251247,2082
276025,2912
276025,2875
276025,2850
276025,2040
276025,2902
276025,2947
276025,2851
276025,2078
276025,2822
276025,2004
276025,2819
276025,2005
276025,2884
276025,2849
276025,2939
276025,2897
247763,2875
247763,2040
247763,2902
247763,2081
247763,2819
247763,2826
247763,2082
221107,2023
221107,2040
221107,2824
221107,2007
221107,2078
221107,2004
221107,2008
221107,2015
205059,2046
205059,2023
205059,2072
205059,2040
205059,2959
205059,2011
205059,2028
205059,2822
205059,2819
205059,2853
205059,2019
205059,2814
205059,2015
256960,2001
256960,2080
256960,2046
256960,2040
256960,2914
256960,2041
256960,2823
256960,2070
256960,2819
284083,2893
284083,2023
284083,2040
284083,2822
284083,2009
185343,2072
185343,2819
185343,2829
185343,2015
185343,2082
185343,2933
126163,2957
126163,2875
126163,2829
126163,2082
2651,2012
2651,2919
2651,2887
2651,2902
2651,2900
2651,2081
2651,2826
55690,2023
55690,2854
55690,2072
55690,2676
55690,2028
55690,2819
55690,2027
216132,2013
216132,2912
216132,2072
216132,2900
216132,2011
216132,2081
216132,2819
216132,2830
216132,2015
216132,2897
184267,2984
184267,2912
184267,2901
184267,2875
184267,2040
184267,2026
184267,2902
184267,2947
184267,2958
184267,2004
184267,2819
184267,2849
184267,2002
184267,2079
184267,2082
164153,2072
164153,2856
164153,2676
164153,2975
164153,2011
164153,2028
164153,2822
164153,2940
164153,2019
164153,2015
209010,2689
209010,2957
209010,2023
209010,2072
209010,2011
209010,2041
209010,2953
209010,2028
209010,3005
209010,2015
35677,2903
35677,2875
35677,2914
35677,2904
35677,2911
35677,2819
35677,2082
180263,2023
180263,2676
180263,2040
180263,2959
180263,2011
180263,2822
180263,2819
180263,2027
180263,2015
244521,2887
244521,2664
244521,2072
244521,2850
244521,2900
244521,2661
244521,2897
342942,2875
342942,2040
342942,2026
342942,2902
342942,2041
342942,2004
342942,2819
342942,2002
342942,2015
342942,2897
125153,2013
125153,2910
125153,2004
125153,2819
125153,2082
521,2860
521,2019
161533,2080
161533,2040
161533,2041
161533,2819
161533,2002
230802,2875
230802,2041
230802,2048
230802,2002
230802,2829
72125,2080
72125,2072
72125,2676
72125,2026
72125,2959
72125,2011
72125,2685
72125,2002
72125,2079
72125,2015
25613,2001
25613,2012
25613,2924
25613,2040
25613,2041
266810,2900
266810,2041
266810,2819
266810,2082
266810,2933
191189,2023
191189,2664
191189,2901
191189,2040
191189,2041
191189,2819
191189,2079
191189,2015
191189,2897
124742,2001
124742,3004
124742,2040
124742,2876
124742,2016
124742,2686
124742,2015
28143,2843
28143,2040
28143,2004
28143,2020
28143,2833
28143,2079
28143,2015
314040,2001
314040,2023
314040,2040
314040,2824
314040,2078
314040,2004
314040,2015
201808,2664
201808,2901
201808,2875
201808,2947
201808,2041
201808,2685
201808,2078
201808,2661
201808,2897
159675,2903
159675,2889
159675,2902
159675,2004
159675,2819
159675,2829
159675,2828
159675,2082
121921,2689
121921,2046
121921,2023
121921,2072
121921,2856
121921,2850
121921,2026
121921,2959
121921,2947
121921,2851
121921,2822
121921,2819
121921,2002
121921,2828
121921,2015
121921,2082
229853,2046
229853,2813
229853,2004
229853,2819
229853,2002
229853,2939
229853,2897
229853,2935
157354,2012
157354,2922
157354,2875
157354,2987
157354,2955
157354,2011
157354,2004
157354,2940
157354,2686
157354,2827
157354,2015
157354,2897
157354,2874
171623,2912
171623,2072
171623,2902
171623,2078
171623,2948
171623,2829
171623,2015
171623,2897
171623,2935
68448,2984
68448,2040
68448,2004
68448,2020
68448,2015
200680,2043
200680,2040
200680,2082
200680,2847
200680,2903
200680,2984
200680,2914
200680,2819
200680,2019
200680,2829
200680,2015
110327,2912
110327,2891
110327,2914
110327,2911
110327,2004
110327,2686
110327,2829
110327,2082
62219,2689
62219,2080
62219,2875
62219,2676
62219,2026
62219,2959
62219,2041
62219,2686
62219,2002
62219,2829
62219,2015
62219,2082
182874,2838
182874,2912
182874,2072
182874,2875
182874,2040
182874,2846
182874,2004
182874,2015
182874,2897
182874,2935
236457,2041
236457,2819
236457,2015
236457,2082
122515,2012
122515,2931
122515,2922
122515,2875
122515,2026
122515,2011
122515,2927
122515,2081
122515,2911
122515,2004
122515,2002
122515,2827
122515,2897
122515,2082
122515,2933
264220,2046
264220,2018
264220,2023
264220,2664
264220,2072
264220,2040
264220,2959
264220,2011
264220,2851
264220,2028
264220,2819
264220,2027
264220,2015
324856,2893
324856,2023
324856,2822
324856,2009
93,2838
93,2080
93,2046
93,2012
93,2040
93,2047
93,2041
93,2926
93,2020
93,2828
93,2826
18602,2689
18602,2911
18602,2829
18602,2830
18602,2897
18602,2082
37111,2046
37111,2072
37111,2040
37111,2891
37111,2846
37111,2028
37111,2820
37111,2019
37111,2814
37111,2015
37111,2897
37111,2017
12493,2001
12493,2021
12493,2072
12493,2843
12493,2676
12493,2026
12493,2914
12493,2011
12493,2685
12493,2002
12493,2008
12493,2079
12493,2015
12493,2017
73439,2080
73439,2072
73439,2875
73439,2987
73439,2902
73439,2911
73439,2004
73439,2819
73439,2828
73439,2897
73439,2935
73439,2933
40834,2664
40834,2040
269385,2018
269385,2023
269385,2664
269385,2011
269385,2028
269385,2822
269385,2819
269385,2853
269385,2015
170042,2912
170042,2072
170042,2040
170042,2082
170042,2933
172386,2689
172386,2080
172386,2664
172386,2040
172386,2910
172386,2041
172386,2020
172386,2005
172386,2829
172386,2015
146021,2001
146021,2023
146021,2072
146021,2078
146021,2028
146021,2819
