bg_id,id,type
174430,69802,designer
174430,77084,artist
174430,78961,artist
174430,84269,artist
161936,442,designer
161936,378,designer
161936,14057,artist
224517,32887,designer
224517,32943,designer
224517,6,designer
224517,70571,artist
224517,70568,artist
224517,38179,artist
167791,52075,designer
167791,62819,artist
291457,69802,designer
291457,79079,artist
291457,66266,artist
291457,77084,artist
233078,96049,designer
233078,6651,designer
233078,21,designer
233078,11988,artist
220308,4300,designer
220308,4407,designer
220308,12484,artist
187645,6651,designer
187645,34719,artist
187645,32122,artist
187645,20067,artist
187645,19822,artist
187645,12438,artist
187645,81542,artist
187645,86044,artist
187645,63040,artist
187645,21426,artist
187645,46414,artist
187645,29808,artist
187645,69244,artist
187645,75483,artist
187645,17275,artist
187645,90475,artist
187645,43532,artist
187645,86045,artist
187645,18700,artist
187645,21095,artist
187645,86222,artist
187645,50786,artist
187645,17704,artist
187645,38000,artist
187645,14590,artist
187645,46416,artist
187645,46353,artist
187645,13442,artist
187645,44813,artist
187645,41638,artist
187645,59149,artist
187645,49382,artist
187645,19549,artist
187645,48661,artist
187645,49381,artist
187645,78938,artist
187645,14318,artist
187645,77085,artist
187645,41678,artist
187645,41679,artist
187645,49393,artist
187645,69091,artist
187645,68942,artist
187645,77254,artist
187645,90477,artist
187645,29809,artist
187645,12627,artist
187645,49280,artist
162886,16615,designer
162886,19565,artist
162886,88873,artist
162886,11462,artist
162886,86024,artist
162886,97260,artist
162886,73895,artist
162886,85924,artist
162886,85925,artist
162886,60615,artist
162886,81097,artist
162886,50243,artist
162886,85926,artist
162886,58547,artist
162886,47197,artist
162886,74441,artist
182028,789,designer
182028,114458,artist
182028,11938,artist
182028,94497,artist
182028,11961,artist
115746,3247,designer
115746,934,designer
115746,935,designer
115746,11884,artist
193738,11767,designer
193738,11898,artist
12333,3876,designer
12333,3877,designer
12333,50825,artist
12333,71,artist
12333,34490,artist
12333,13512,artist
12333,140,artist
169786,62640,designer
169786,33148,artist
316554,92370,designer
316554,119957,artist
316554,73773,artist
316554,31001,artist
84876,4958,designer
84876,11886,artist
84876,4959,artist
167355,61569,designer
167355,39040,artist
167355,113980,artist
167355,114786,artist
167355,113981,artist
173346,9714,designer
173346,1727,designer
173346,12016,artist
124361,6045,designer
124361,31545,artist
124361,6045,artist
124361,103476,artist
28720,6,designer
28720,32887,artist
28720,70571,artist
28720,11802,artist
28720,70568,artist
28720,12011,artist
28720,38179,artist
120677,4300,designer
120677,4407,designer
120677,12484,artist
177736,10,designer
177736,12484,artist
266192,111338,designer
266192,113749,artist
266192,113748,artist
266192,41862,artist
266192,71164,artist
205637,11655,designer
205637,40573,designer
205637,50786,artist
205637,59237,artist
205637,46353,artist
205637,24858,artist
205637,65892,artist
205637,18354,artist
205637,59148,artist
183394,62640,designer
183394,62641,designer
183394,65633,artist
183394,44234,artist
183394,71164,artist
237182,35585,designer
237182,65224,artist
164928,158,designer
164928,11507,artist
199792,91302,designer
199792,40597,artist
199792,23943,artist
266507,37507,designer
266507,92370,designer
266507,119957,artist
266507,118806,artist
266507,115889,artist
266507,73773,artist
266507,31001,artist
266507,53111,artist
96848,789,designer
96848,49771,artist
96848,50792,artist
96848,11961,artist
312484,127823,designer
312484,127822,designer
312484,127825,artist
312484,115373,artist
312484,94497,artist
312484,119983,artist
312484,11961,artist
246900,13000,designer
246900,95103,artist
246900,66790,artist
246900,61020,artist
246900,32143,artist
175914,270,designer
175914,407,designer
175914,85079,artist
175914,12602,artist
3076,117,designer
3076,4959,artist
3076,11883,artist
102794,10,designer
102794,85375,artist
102794,11507,artist
170216,1533,designer
170216,24858,artist
170216,12317,artist
170216,1723,artist
170216,12495,artist
285774,119800,designer
285774,11655,designer
285774,69895,designer
192135,60315,designer
192135,60311,designer
192135,60315,artist
192135,104238,artist
31260,10,designer
31260,11507,artist
251247,108836,designer
251247,35418,designer
251247,112087,artist
251247,83351,artist
251247,87749,artist
276025,11767,designer
276025,61842,artist
276025,97761,artist
247763,9307,designer
247763,69038,artist
247763,11961,artist
221107,442,designer
221107,378,designer
221107,80022,artist
221107,14057,artist
205059,69718,designer
205059,59605,artist
205059,29340,artist
205059,14596,artist
205059,43532,artist
205059,6651,artist
205059,59607,artist
205059,29809,artist
256960,35585,designer
256960,35585,artist
284083,45563,designer
284083,120549,artist
185343,76227,designer
185343,76971,designer
185343,76578,designer
185343,76972,artist
185343,85502,artist
185343,91323,artist
185343,29978,artist
185343,77167,artist
126163,35418,designer
126163,59986,designer
126163,11961,artist
2651,141,designer
2651,26239,artist
2651,6206,artist
2651,11827,artist
2651,98541,artist
2651,4959,artist
55690,25578,designer
55690,107952,artist
55690,67928,artist
55690,66627,artist
216132,69679,designer
216132,11507,artist
184267,12396,designer
184267,64844,artist
164153,72460,designer
164153,6651,designer
164153,78796,designer
164153,78030,artist
164153,19411,artist
164153,72509,artist
164153,73895,artist
164153,69246,artist
164153,36621,artist
164153,48500,artist
164153,24858,artist
164153,47549,artist
164153,104761,artist
164153,68942,artist
164153,49280,artist
209010,95102,designer
209010,18140,designer
209010,63691,designer
209010,95101,designer
209010,95100,designer
209010,95549,artist
209010,95550,artist
35677,10,designer
35677,11507,artist
180263,51255,designer
180263,51055,designer
180263,51255,artist
244521,80162,designer
244521,12484,artist
244521,80162,artist
342942,138517,designer
342942,11462,artist
342942,12484,artist
342942,138547,artist
342942,11797,artist
125153,12396,designer
125153,64844,artist
521,3,designer
521,84274,artist
521,12965,artist
161533,12396,designer
161533,64844,artist
230802,42,designer
230802,74074,artist
230802,14057,artist
72125,13000,designer
72125,19023,artist
72125,32143,artist
25613,789,designer
25613,12515,artist
25613,11997,artist
266810,12547,designer
266810,103821,designer
266810,70533,artist
191189,88122,designer
191189,122536,artist
124742,14,designer
124742,62803,designer
124742,56728,artist
124742,20316,artist
124742,66328,artist
124742,28696,artist
124742,88106,artist
124742,120249,artist
124742,24858,artist
124742,70695,artist
124742,46413,artist
124742,48601,artist
124742,19229,artist
124742,50791,artist
28143,150,designer
28143,11968,artist
28143,11902,artist
28143,12836,artist
314040,442,designer
314040,378,designer
314040,128614,artist
314040,128613,artist
314040,80022,artist
314040,78938,artist
201808,92370,designer
201808,60376,artist
201808,73773,artist
201808,31001,artist
159675,10,designer
159675,12484,artist
121921,117118,designer
121921,4735,designer
121921,63787,artist
121921,38917,artist
121921,12130,artist
121921,80458,artist
121921,80457,artist
121921,63785,artist
121921,134787,artist
121921,69434,artist
121921,66798,artist
121921,21002,artist
121921,38138,artist
121921,4735,artist
121921,12540,artist
229853,59986,designer
229853,59181,artist
157354,1727,designer
157354,78139,artist
171623,35418,designer
171623,59986,designer
171623,12484,artist
68448,9714,designer
68448,62528,artist
68448,12016,artist
68448,100254,artist
68448,89045,artist
200680,10,designer
200680,11507,artist
110327,15913,designer
110327,13261,designer
110327,19626,artist
110327,14936,artist
110327,19412,artist
110327,50887,artist
110327,15019,artist
110327,14937,artist
110327,43532,artist
110327,18780,artist
110327,14202,artist
110327,28288,artist
110327,14299,artist
110327,15368,artist
110327,14940,artist
110327,12065,artist
110327,47312,artist
110327,13976,artist
110327,24268,artist
110327,15025,artist
110327,14278,artist
110327,14961,artist
110327,16907,artist
110327,24846,artist
110327,13054,artist
110327,19413,artist
110327,29693,artist
110327,14949,artist
110327,11990,artist
110327,15022,artist
110327,18461,artist
110327,1857,artist
110327,14691,artist
110327,16453,artist
110327,14955,artist
62219,6331,designer
62219,107323,artist
62219,6331,artist
62219,71,artist
62219,34490,artist
62219,18461,artist
62219,100877,artist
182874,6817,designer
182874,35418,designer
182874,11507,artist
236457,12547,designer
236457,103821,designer
236457,70533,artist
122515,7448,designer
122515,134,designer
122515,11888,artist
122515,63350,artist
122515,64986,artist
264220,42812,designer
264220,106124,designer
264220,39040,artist
264220,113980,artist
264220,114786,artist
264220,86660,artist
264220,114320,artist
264220,113981,artist
324856,45563,designer
324856,120549,artist
93,7,designer
93,8,designer
93,74,artist
18602,5629,designer
18602,4009,artist
18602,12886,artist
18602,11858,artist
37111,6651,designer
37111,16531,artist
37111,11989,artist
37111,12436,artist
12493,21,designer
12493,11988,artist
12493,11989,artist
12493,11990,artist
