ver_id,id,type
479734,77084,artist
479734,78961,artist
479734,84269,artist
591864,77084,artist
591864,78961,artist
591864,84269,artist
351462,77084,artist
351462,78961,artist
351462,84269,artist
384592,77084,artist
384592,78961,artist
384592,84269,artist
520054,77084,artist
520054,78961,artist
520054,84269,artist
399953,77084,artist
399953,78961,artist
399953,84269,artist
466963,77084,artist
466963,78961,artist
466963,84269,artist
507879,77084,artist
507879,78961,artist
507879,84269,artist
305126,14057,artist
305125,14057,artist
329714,14057,artist
329713,14057,artist
288883,14057,artist
291712,14057,artist
245176,14057,artist
591333,14057,artist
416330,14057,artist
271616,14057,artist
390334,14057,artist
271618,14057,artist
271619,14057,artist
281594,14057,artist
288127,14057,artist
318896,14057,artist
332291,14057,artist
332292,14057,artist
287566,14057,artist
287564,14057,artist
285190,14057,artist
270734,14057,artist
274875,14057,artist
296084,14057,artist
303840,14057,artist
293194,14057,artist
457857,14057,artist
278089,14057,artist
278091,14057,artist
417443,70571,artist
417443,70568,artist
417443,38179,artist
351052,70571,artist
351052,70568,artist
351052,38179,artist
435701,70571,artist
435701,70568,artist
435701,38179,artist
491771,70571,artist
491771,70568,artist
491771,38179,artist
470849,70571,artist
470849,70568,artist
470849,38179,artist
389051,70571,artist
389051,70568,artist
389051,38179,artist
364943,62819,artist
451731,62819,artist
350368,62819,artist
546377,62819,artist
256624,62819,artist
349581,62819,artist
360032,62819,artist
473097,62819,artist
344825,62819,artist
510214,62819,artist
405714,62819,artist
427440,62819,artist
312024,52076,artist
312024,62819,artist
388051,62819,artist
344576,62819,artist
536212,62819,artist
355244,62819,artist
344688,62819,artist
301085,62819,artist
348005,62819,artist
378406,62819,artist
355597,62819,artist
351041,62819,artist
340818,62819,artist
475761,62819,artist
476060,77084,artist
465225,11988,artist
543190,11988,artist
347251,12484,artist
343321,12484,artist
506194,12484,artist
510707,12484,artist
343320,12484,artist
355712,12484,artist
371363,12484,artist
497500,19565,artist
497500,11462,artist
497500,86024,artist
497500,97260,artist
497500,73895,artist
497500,85924,artist
497500,85925,artist
497500,60615,artist
497500,81097,artist
497500,50243,artist
497500,85926,artist
497500,58547,artist
497500,47197,artist
497500,74441,artist
582330,19565,artist
582330,11462,artist
582330,86024,artist
582330,97260,artist
582330,73895,artist
582330,85924,artist
582330,85925,artist
582330,60615,artist
582330,81097,artist
582330,85926,artist
582330,58547,artist
582330,47197,artist
582330,74441,artist
428048,19565,artist
428048,11462,artist
428048,86024,artist
428048,97260,artist
428048,73895,artist
428048,85924,artist
428048,85925,artist
428048,60615,artist
428048,81097,artist
428048,50243,artist
428048,85926,artist
428048,58547,artist
428048,47197,artist
428048,74441,artist
246745,19565,artist
246745,86024,artist
246745,97260,artist
246745,73895,artist
246745,60615,artist
246745,81097,artist
246745,50243,artist
246745,58547,artist
246745,47197,artist
246745,74441,artist
408659,19565,artist
408659,11462,artist
408659,86024,artist
408659,97260,artist
408659,73895,artist
408659,85924,artist
408659,85925,artist
408659,60615,artist
408659,81097,artist
408659,50243,artist
408659,85926,artist
408659,58547,artist
408659,47197,artist
408659,74441,artist
526893,19565,artist
526893,11462,artist
526893,86024,artist
526893,97260,artist
526893,73895,artist
526893,85924,artist
526893,85925,artist
526893,60615,artist
526893,81097,artist
526893,85926,artist
526893,58547,artist
526893,47197,artist
526893,74441,artist
387123,19565,artist
387123,86024,artist
387123,97260,artist
387123,73895,artist
387123,60615,artist
387123,81097,artist
387123,50243,artist
387123,58547,artist
387123,47197,artist
387123,74441,artist
453197,19565,artist
453197,11462,artist
453197,86024,artist
453197,97260,artist
453197,73895,artist
453197,85924,artist
453197,85925,artist
453197,60615,artist
453197,81097,artist
453197,85926,artist
453197,58547,artist
453197,47197,artist
453197,74441,artist
548059,19565,artist
393555,19565,artist
393555,88873,artist
393555,86024,artist
393555,97260,artist
393555,73895,artist
393555,85924,artist
393555,85925,artist
393555,60615,artist
393555,81097,artist
393555,50243,artist
393555,85926,artist
393555,58547,artist
393555,47197,artist
393555,74441,artist
392223,19565,artist
392223,11462,artist
392223,86024,artist
392223,97260,artist
392223,73895,artist
392223,85924,artist
392223,85925,artist
392223,60615,artist
392223,81097,artist
392223,50243,artist
392223,85926,artist
392223,58547,artist
392223,47197,artist
392223,74441,artist
488453,19565,artist
488453,11462,artist
488453,86024,artist
488453,97260,artist
488453,73895,artist
488453,85924,artist
488453,85925,artist
488453,60615,artist
488453,81097,artist
488453,50243,artist
488453,85926,artist
488453,58547,artist
488453,47197,artist
488453,74441,artist
484931,19565,artist
484931,11462,artist
484931,86024,artist
484931,97260,artist
484931,73895,artist
484931,85924,artist
484931,85925,artist
484931,60615,artist
484931,81097,artist
484931,50243,artist
484931,85926,artist
484931,58547,artist
484931,47197,artist
484931,74441,artist
422684,19565,artist
422684,11462,artist
422684,86024,artist
422684,97260,artist
422684,73895,artist
422684,85924,artist
422684,85925,artist
422684,60615,artist
422684,81097,artist
422684,50243,artist
422684,85926,artist
422684,58547,artist
422684,47197,artist
422684,74441,artist
451080,19565,artist
451080,11462,artist
