id,name
27425,Cephalofair Games
4304,Albi
46179,Albi Polska
3475,Arclight
157,Asmodee
22380,Feuerland Spiele
15605,Galápagos Jogos
40478,Games Warehouse
8820,Gém Klub Kft.
18852,Hobby World
8291,"Korea Boardgames Co., Ltd."
23756,"MYBG Co., Ltd."
538,Z-Man Games
15889,Asterion Press
2366,Devir
5657,Filosofia Éditions
1391,Hobby Japan
15983,Jolly Thinkers
5812,Lacerta
9325,Lifestyle Boardgames Ltd
7992,MINDOK
21765,Roxley
25074,BoardM Factory
11043,Conclave Editora
34522,CrowD Games
31071,Dexker Games
8832,Funforge
4785,Ghenos Games
42147,Giant Roc
46500,Lord of Boards
30677,Maldito Games
36186,PHALANX
41423,TLAMA games
18575,FryxGames
46980,Brädspel.se
22560,Fantasmagoria
46884,Green Elephant Games
5380,Intrafin Games
32866,Kilogames
3218,Lautapelit.fi
34801,Lavka Games
25203,Lex Games
32591,MeepleBR
32395,NeoTroy Games
36366,Pridemage Games
7466,Rebel Sp. z o.o.
36563,Reflexshop
24844,Schwerkraft-Verlag
33998,Siam Board Games
11652,Stronghold Games
48279,SuperHeated Neurons
36763,Surfin' Meeple China
47848,Asmodee China
42032,Asmodee Italia
48269,Meanbook Games
17,Fantasy Flight Games
23043,ADC Blackfire Entertainment
2973,Edge Entertainment
4617,Galakta
34744,Playfun Games
39249,sternenschimmermeer
30958,Capstone Games
10768,Cranio Creations
23205,DiceTree Games
12540,Game Harbor
35960,Games Factory
35035,Mandala Jogos
29409,Super Meeple
4932,White Goblin Games
22609,テンデイズゲームズ(TendaysGames)
6194,Delta Vision Publishing
264,Heidelberger Spieleverlag
17543,"Greater Than Games, LLC"
28062,Ace Studios
36401,Arrakis Games
39390,Engames
50454,Fabled Nexus
33710,Fox in the Box
30552,One Moment Games
39,Pegasus Spiele
21053,REXhry
7345,Czech Games Edition
597,Eagle-Gryphon Games
29194,GaGa Games
23382,HaKubia
38505,HeidelBÄR Games
8923,IELLO
9881,"New Games Order, LLC"
17917,Ares Games
38809,Angry Lion Games
45134,Geekach Games
15906,Nuts! Publishing
14346,Planplay
6123,Red Glove
36,Sophisticated Games
35809,Zhiyanjia
1015,eggertspiele
267,999 Games
9068,Broadway Toys LTD
24883,Ediciones MasQueOca
155,Gigamic
30399,Ludicus
34188,Plan B Games
17786,uplay.it edizioni
8147,YOKA Games
