bg_id,id
174430,27425
174430,4304
174430,46179
174430,3475
174430,157
174430,22380
174430,15605
174430,40478
174430,8820
174430,18852
174430,8291
174430,23756
161936,538
161936,15889
161936,2366
161936,5657
161936,8820
161936,1391
161936,15983
161936,8291
161936,5812
161936,9325
161936,7992
224517,21765
224517,3475
224517,25074
224517,11043
224517,34522
224517,31071
224517,8832
224517,8820
224517,4785
224517,42147
224517,46500
224517,30677
224517,36186
224517,41423
167791,18575
167791,3475
167791,46980
167791,22560
167791,4785
167791,46884
167791,5380
167791,32866
167791,8291
167791,3218
167791,34801
167791,25203
167791,30677
167791,32591
167791,7992
167791,23756
167791,32395
167791,36366
167791,7466
167791,36563
167791,24844
167791,33998
167791,11652
167791,48279
167791,36763
291457,27425
291457,4304
291457,46179
291457,157
291457,47848
291457,42032
291457,22380
291457,18852
291457,8291
291457,48269
291457,33998
233078,17
233078,23043
233078,3475
233078,157
233078,15889
233078,2973
233078,4617
233078,15605
233078,18852
233078,34744
233078,39249
220308,22380
220308,30958
220308,10768
220308,23205
220308,2973
220308,12540
220308,35960
220308,18852
220308,30677
220308,35035
220308,36563
220308,29409
220308,41423
220308,4932
220308,538
220308,22609
187645,17
187645,23043
187645,15889
187645,6194
187645,2973
187645,4617
187645,15605
187645,264
187645,18852
162886,17543
162886,28062
162886,36401
162886,25074
162886,39390
162886,50454
162886,33710
162886,8820
162886,4785
162886,18852
162886,5380
162886,5812
162886,30552
162886,39
162886,21053
182028,7345
182028,10768
182028,2366
182028,23205
182028,597
182028,29194
182028,8820
182028,23382
182028,38505
182028,264
182028,8923
182028,7992
182028,9881
182028,30552
182028,7466
115746,17917
115746,38809
115746,2366
115746,29194
115746,4617
115746,45134
115746,264
115746,15906
115746,14346
115746,6123
115746,36
115746,35809
193738,1015
193738,267
193738,3475
193738,9068
193738,11043
193738,6194
193738,24883
193738,155
193738,8291
193738,5812
193738,30399
193738,7992
193738,39
193738,34188
193738,11652
193738,17786
193738,8147
193738,1466
12333,52
12333,4
12333,15889
12333,9074
12333,27022
12333,2366
12333,23205
12333,29194
12333,7992
12333,36186
12333,570
12333,8759
169786,23202
169786,4304
169786,38809
169786,3475
169786,34522
169786,6194
169786,22380
169786,30213
169786,15605
169786,45134
169786,4785
169786,8291
169786,29242
169786,30677
169786,5400
169786,28323
169786,36186
169786,34744
169786,36763
316554,33706
316554,157
316554,42032
316554,45134
316554,34801
316554,33626
316554,36563
316554,21053
316554,39249
316554,48648
84876,9
84876,34
84876,9068
84876,5530
84876,858
84876,18852
84876,30677
84876,7466
167355,29412
167355,7466
167355,3475
167355,47848
167355,10768
167355,6194
167355,8832
167355,15605
167355,18852
167355,8291
167355,7992
167355,47684
173346,4384
173346,23043
173346,47848
173346,42032
173346,15889
173346,15605
173346,8820
173346,9634
173346,6214
173346,8291
173346,3218
173346,9325
173346,30399
173346,31904
173346,36366
173346,7466
173346,33998
173346,32645
173346,44209
124361,8401
124361,267
124361,10768
124361,34522
124361,24883
124361,7496
124361,8820
124361,264
124361,8291
124361,25203
124361,9881
124361,34744
124361,3
124361,2861
28720,21765
28720,7
28720,3475
28720,25074
28720,11043
28720,34522
28720,597
28720,7097
28720,8832
28720,4785
28720,42147
28720,30677
28720,39
28720,36186
28720,8759
28720,4932
120677,22380
120677,9074
120677,30958
120677,10768
120677,2366
120677,5657
120677,24298
120677,8820
120677,6275
120677,35035
120677,7992
120677,9234
120677,4932
120677,538
120677,1466
120677,22609
177736,22380
177736,10768
177736,2366
177736,5657
177736,12540
177736,18852
177736,8291
177736,5812
177736,30677
177736,35035
177736,29409
177736,4932
177736,538
177736,22609
266192,23202
266192,267
266192,38809
266192,3475
266192,50565
266192,7162
266192,6194
266192,40415
266192,22380
266192,4785
266192,46884
266192,6214
266192,8291
266192,3218
266192,34801
266192,29242
266192,30677
266192,5400
266192,7992
266192,32395
266192,36366
266192,7466
266192,44241
266192,33998
266192,36763
266192,44209
205637,17
205637,3475
205637,157
205637,47848
205637,42032
205637,15889
205637,2973
205637,4617
205637,15605
205637,264
205637,18852
205637,8291
205637,44209
183394,23202
183394,4304
183394,38809
183394,3475
183394,6194
183394,22380
183394,4785
183394,32866
183394,8291
183394,34801
183394,29242
183394,30677
183394,5400
183394,36186
183394,44241
237182,25624
237182,30571
237182,3475
237182,21608
237182,34522
237182,33710
237182,32866
237182,8291
237182,5400
237182,32591
237182,37959
237182,2726
237182,36831
237182,39774
237182,8147
164928,10848
164928,3475
164928,36401
164928,30383
164928,51066
164928,30958
164928,10768
164928,39390
164928,29194
164928,8291
164928,5400
164928,49615
164928,32591
164928,36763
164928,9234
164928,9499
164928,4932
199792,38298
199792,42875
199792,3475
199792,21608
199792,22560
199792,15605
199792,8820
199792,18852
199792,6214
199792,30677
199792,5400
199792,39
199792,36366
199792,7466
199792,21053
199792,4932
199792,8147
266507,33706
266507,13274
266507,28072
266507,2366
266507,8291
266507,27470
266507,22651
266507,24844
96848,221
96848,157
96848,5530
96848,5380
96848,5812
96848,3023
96848,39
96848,21053
312484,7345
312484,10768
312484,2366
312484,23205
312484,22560
312484,29194
312484,8820
312484,38505
312484,1391
312484,8923
312484,46500
312484,7992
312484,7466
312484,4932
246900,3218
246900,34522
246900,30677
246900,5400
246900,39
246900,39249
246900,36763
246900,41423
246900,17786
175914,140
175914,38809
175914,24883
175914,37959
175914,9881
175914,30552
175914,2726
3076,9
3076,34
3076,4304
3076,2366
3076,5657
3076,6214
3076,5812
3076,3218
3076,7992
3076,3
3076,3888
3076,9234
3076,42
3076,46567
102794,234
102794,267
102794,34522
102794,2366
102794,5657
102794,8832
102794,24867
102794,1391
102794,6275
102794,8291
102794,5812
102794,29242
102794,10
102794,7992
102794,9234
102794,17786
170216,34793
170216,3475
170216,157
170216,15889
170216,25074
170216,21608
170216,34522
170216,6194
170216,2973
170216,22560
170216,15605
170216,12540
170216,21020
170216,2726
170216,21053
285774,17
285774,23043
285774,157
285774,47848
285774,42032
285774,32866
285774,8291
285774,32395
192135,22593
192135,46544
192135,38209
192135,34801
192135,33626
31260,234
31260,267
31260,7162
31260,14813
31260,2366
31260,5657
31260,8832
31260,51
31260,1391
31260,18852
31260,6275
31260,8291
31260,5812
31260,7992
31260,8313
31260,3888
31260,9234
31260,2861
31260,538
251247,10768
251247,34522
251247,6194
251247,22380
251247,15605
251247,12540
251247,5380
251247,8291
251247,30677
251247,2726
251247,39249
251247,22609
276025,33525
276025,25074
276025,30958
276025,10848
276025,24883
276025,44532
276025,18852
276025,32591
276025,29409
276025,17786
276025,8147
276025,22609
247763,39354
247763,36401
247763,35491
247763,8820
247763,18852
247763,32591
247763,7992
247763,37959
247763,23756
247763,39
247763,2726
247763,3
247763,39249
247763,29154
221107,538
221107,157
221107,47848
221107,2366
221107,8820
221107,1391
221107,8291
221107,5812
221107,9325
205059,17
205059,23043
205059,3475
205059,47848
205059,15889
205059,2973
205059,4617
205059,15605
205059,264
205059,18852
205059,8291
205059,48269
205059,33998
256960,39814
256960,30571
256960,34522
256960,33710
256960,4617
256960,15605
256960,7251
256960,8291
256960,15108
256960,8147
284083,37
284083,267
284083,7162
284083,2366
284083,4617
284083,45134
284083,5530
284083,21640
284083,23382
284083,8822
284083,8923
284083,31372
284083,6214
284083,8291
284083,7992
284083,22
284083,9234
284083,1466
185343,29156
185343,4304
185343,46179
185343,34522
185343,39390
185343,40478
185343,42325
185343,8291
185343,30677
185343,23756
185343,36563
185343,29409
126163,7345
126163,10768
126163,2366
126163,23205
126163,29194
126163,2862
126163,264
126163,1391
126163,8923
126163,25203
126163,7992
126163,30552
126163,7466
126163,3
126163,25973
2651,58
2651,267
2651,4304
2651,3475
2651,7162
2651,2973
2651,15605
2651,8820
2651,5530
2651,18852
2651,8822
2651,6214
2651,8291
2651,5812
2651,3218
2651,3
2651,7581
2651,33998
2651,8313
2651,3888
2651,9234
55690,27082
216132,26892
216132,25074
216132,34522
216132,31815
216132,8351
216132,32591
216132,30034
216132,6123
216132,22609
184267,597
184267,38809
184267,7251
184267,10562
184267,34801
184267,30677
184267,44349
184267,40058
184267,41423
184267,8147
164153,17
164153,15889
164153,2973
164153,4617
164153,15605
164153,264
164153,18852
209010,14407
35677,234
35677,267
35677,34522
35677,5657
35677,28415
35677,1391
35677,6275
35677,8291
35677,5812
35677,29242
35677,30677
35677,10
35677,7992
35677,3888
35677,17786
35677,2861
35677,538
180263,17654
244521,38
244521,267
244521,3475
244521,46474
244521,14813
244521,2366
244521,8845
244521,8291
244521,3218
244521,34801
244521,7992
244521,2164
244521,9234
244521,44340
342942,22380
342942,30958
342942,10768
342942,12540
342942,8820
342942,8291
342942,30677
342942,2726
342942,29409
342942,4932
