ver_id,id
460243,40478
460243,23756
482203,4304
479734,27425
331120,27425
451774,27425
591864,27425
351462,27425
384592,27425
520054,27425
481236,27425
268248,27425
331119,27425
475996,157
399953,27425
399953,22380
466963,27425
466963,22380
596972,27425
596972,22380
441836,8820
448521,157
554544,3475
554544,27425
455813,8291
424523,4304
507879,15605
388684,18852
447572,157
569024,157
305126,15983
305126,538
305125,15983
305125,538
329714,7992
329713,7992
288883,538
291712,538
245176,538
591333,538
416330,538
271616,538
390334,538
271618,5657
434410,538
271619,5657
434411,538
281594,538
288127,538
318896,538
332291,8820
332291,538
332292,8820
332292,538
287566,15889
287564,15889
394254,1391
285190,1391
387090,8291
386795,8291
270734,5812
270734,538
274875,5812
274875,538
296084,2366
303840,2366
293194,9325
457857,9325
278089,538
278091,2366
523778,31071
523778,21765
558467,41423
417443,21765
351052,21765
435701,8832
491771,42147
512824,8820
470849,4785
520878,3475
520878,21765
471199,25074
442357,36186
566817,36186
566817,21765
459032,11043
389051,34522
389051,21765
447132,30677
538284,46500
538284,21765
410171,22560
364943,23756
568760,18575
568760,36763
388940,7992
451731,3218
350368,5380
546377,18575
546377,11652
256624,18575
256624,11652
349581,18575
349581,11652
360032,18575
360032,24844
473097,3218
344825,5380
510214,18575
510214,5380
405714,5380
427440,5380
312024,24844
388051,24844
344576,24844
536212,18575
536212,46884
355244,18575
355244,36563
344688,4785
375000,3475
364962,8291
301085,7466
348005,7466
378406,18575
378406,7466
355597,32591
482807,18575
482807,25203
351041,34801
535162,18575
535162,36366
340818,30677
538349,46980
538349,18575
414712,33998
480385,32395
475761,32866
589447,47848
589447,27425
574055,4304
476060,27425
597657,27425
490499,22380
561027,42032
561027,27425
558825,27425
558825,8291
524827,46179
577944,18852
569018,157
587543,27425
587543,48269
587543,33998
426342,34744
428068,23043
365218,17
369947,17
365301,157
389644,157
465225,3475
543190,17
543190,39249
366033,4617
389646,15605
368374,18852
365664,2973
365664,17
369509,12540
573655,41423
347251,4932
343321,538
506194,30958
506194,22380
377936,2973
377936,22380
377936,538
510707,29409
343320,22380
420909,36563
355712,10768
377447,22609
388677,23205
366260,35960
353793,35035
371363,18852
371363,538
377455,30677
341516,23043
290665,17
299332,2973
296482,17
296482,264
348616,6194
348616,17
561933,6194
561933,17
307544,15889
294946,4617
428882,15605
429057,18852
290782,2973
509832,30552
601920,33710
601920,17543
601920,21053
497500,17543
582330,50454
582330,17543
428048,17543
246745,17543
408659,17543
526893,17543
387123,17543
453197,17543
441965,17543
548059,17543
393555,17543
392223,5380
488453,5380
484931,39
422684,39
451080,39
449656,8820
489681,4785
554549,39390
554549,17543
476655,25074
476655,17543
469209,17543
469209,5812
459051,28062
448987,18852
446044,36401
317549,30552
329022,7992
281479,7345
281479,597
288528,7345
288528,8923
329047,7345
329047,264
288003,7345
288003,264
483311,7345
483311,38505
567233,7345
567233,23382
314675,7345
314675,8820
287702,10768
554546,7345
554546,9881
343486,23205
292021,7466
342397,2366
355059,29194
321762,2366
259818,17917
259818,14346
259818,35809
332178,2366
332178,17917
280038,17917
142738,17917
142738,36
464584,17917
464584,36
507011,15906
183182,17917
183182,264
372576,17917
372576,264
440289,38809
183181,17917
183181,4617
222688,17917
222688,2366
183186,17917
183186,6123
360200,29194
183183,2366
577719,45134
372574,9068
579356,8147
388932,7992
328547,267
300884,1015
300884,11652
410436,1015
454763,1015
535470,1015
300883,1015
300883,39
346141,1015
346141,39
337976,155
462538,1015
378177,1015
378177,39
342130,6194
342130,1015
332724,17786
364430,3475
382662,8291
540589,1015
540589,8291
344344,5812
357501,11043
349065,30399
361585,1015
361585,1466
332917,24883
466137,24883
129447,9074
260917,9074
185338,9074
129463,9074
224900,9074
80837,8759
181197,7992
243057,52
591323,52
291145,52
23774,52
249576,52
133188,52
483383,52
353312,52
195149,52
26538,52
27247,52
23775,52
163506,570
356084,570
99467,570
265401,570
338769,570
115544,4
115544,52
136222,15889
136222,52
309176,27022
324338,23205
513792,23205
453036,36186
595749,36186
311975,2366
408811,29194
154415,2366
240207,2366
440288,38809
334214,34744
568748,23202
568748,36763
340165,4304
290632,23202
290725,23202
290631,23202
320869,23202
260459,23202
323461,28323
348113,5400
316812,28323
343351,22380
351606,6194
301700,4785
376686,3475
527449,8291
527449,23202
328850,36186
377986,36186
337648,30213
401541,29242
570460,15605
570460,23202
351039,34522
300769,30677
300769,23202
534236,45134
534236,23202
565569,33706
565569,21053
521129,33706
560141,33706
560141,33626
539297,33706
568081,36563
534688,42032
534688,33706
543189,33706
543189,39249
532844,33706
532844,33626
549301,33706
549301,34801
572495,48648
567253,157
567253,33706
548255,33706
548255,45134
317166,9068
363499,5530
365582,858
269360,18852
357732,7466
141049,9
141049,34
69303,9
69303,34
134173,9
134173,34
370436,30677
549416,47848
549416,29412
549416,7466
454832,29412
454832,7992
454832,7466
443337,29412
443337,7466
565087,29412
508119,29412
508119,7466
565086,29412
411714,29412
411714,8832
411714,7466
508120,29412
508120,8832
508120,7466
460939,29412
460939,7466
508121,29412
508121,7466
466416,6194
435311,29412
435311,10768
435311,7466
508123,29412
508123,10768
508123,7466
554551,3475
554551,29412
554551,7466
498127,29412
498127,8291
498127,7466
255614,29412
255614,7466
508124,29412
508124,7466
547838,29412
547838,15605
547838,7466
453839,29412
453839,18852
453839,7466
456865,29412
456865,7466
508122,29412
508122,7466
564059,29412
564059,18852
564059,7466
374197,4384
558587,47848
558587,4384
332231,23043
332231,4384
603529,23043
603529,4384
336145,4384
326707,4384
288074,4384
599189,4384
591175,4384
422327,4384
484266,4384
484266,32645
526264,4384
526264,32645
559421,4384
594224,4384
266502,4384
441367,4384
290902,4384
423307,4384
423307,32645
266501,4384
266503,4384
339356,4384
558031,4384
316509,6214
333351,8820
288317,15889
389078,42032
389078,4384
564473,42032
564473,4384
498260,8291
318316,3218
318316,4384
278388,7466
278388,4384
348109,15605
333004,30399
331603,9325
407829,31904
407829,36366
320839,4384
492145,33998
431609,4384
562735,9634
562735,32645
562735,44209
410782,34744
229951,267
227933,8401
227933,3
284456,3
364284,3
583924,8401
583924,3
164811,8401
237166,264
237166,8401
359188,8401
233933,2861
392393,8401
422878,8820
249101,10768
457792,10768
264709,9881
485474,8291
485474,8401
312568,7496
326985,24883
430341,24883
604359,24883
604359,8401
443729,25203
443729,8401
366032,34522
366032,8401
242995,24883
231710,24883
164843,7
164843,8759
572385,21765
29556,4932
297773,597
297010,597
26324,7097
43206,597
43206,7097
21364,7097
21364,7
435699,8832
527664,42147
576320,42147
470848,4785
554550,3475
554550,21765
460099,25074
26985,39
473627,36186
459033,11043
349461,21765
420193,21765
389052,34522
389052,21765
447133,30677
259758,9234
338489,2366
193224,4932
506193,30958
506193,22380
189525,5657
189525,538
154404,22380
597724,22380
193774,22380
391053,22380
223237,6275
422804,8820
226081,10768
214221,22609
193772,9074
193772,7992
300535,24298
423597,35035
251839,1466
355766,12540
326373,2366
301912,4932
301369,538
409676,538
433678,538
585046,22380
329848,5657
410804,22380
410804,538
577478,29409
273894,22380
325141,10768
332201,22609
393498,22380
393498,8291
570418,30677
344345,5812
338742,35035
351447,18852
471202,38809
592173,50565
448045,36763
461082,7992
604978,7992
604978,23202
498203,7992
531978,23202
475887,40415
435420,267
433233,23202
474967,23202
561388,7162
561388,23202
501112,3218
433839,5400
529409,5400
438508,22380
464873,22380
479290,22380
534256,6214
435127,6194
435127,23202
452283,4785
524651,3475
524651,23202
542966,8291
542966,23202
561387,7162
561387,23202
561390,7162
561390,23202
439205,29242
438574,7466
483067,44241
456102,34801
581207,36366
434480,30677
527618,23202
472139,33998
472139,23202
517794,32395
517759,44209
391994,47848
391994,17
320688,17
568911,17
327139,17
588048,17
322420,264
580000,157
324199,157
324199,15889
583085,42032
356966,3475
477215,17
477215,8291
575828,17
575828,8291
321757,4617
569678,17
569678,4617
569598,15605
405521,18852
320770,2973
320770,17
568912,17
482334,17
482334,44209
602465,4304
602465,23202
283706,23202
375763,5400
548208,5400
290825,22380
495569,6194
363500,4785
369378,3475
534265,8291
534265,23202
389475,38809
497926,36186
335706,29242
568491,44241
568491,23202
376920,34801
330930,30677
550705,32866
442176,8147
424446,33710
545526,25624
372401,25624
489531,25624
430107,25624
559821,25624
463892,25624
422121,5400
424945,36831
589184,36831
490418,36831
532630,36831
420769,37959
554553,3475
461132,21608
461132,8291
461132,25624
442272,2726
430537,32591
457859,34522
439804,30571
570070,30571
572061,39774
498449,32866
271670,3475
386948,9234
295687,4932
546978,4932
581466,39390
567652,30958
567652,10848
466201,10848
466201,9499
467310,10848
467310,9499
250580,10848
264000,10848
264000,9499
282462,10848
282462,5400
507640,5400
314861,10848
521404,10848
291760,10848
325749,10768
480867,10768
584799,10848
584799,8291
346496,30383
346496,10848
355598,32591
360094,29194
375499,36401
477038,42875
595588,22560
595588,38298
427310,8147
450304,21053
604614,21053
604614,38298
541750,21053
604613,21053
604613,38298
505632,4932
558248,38298
558248,4932
545135,38298
310921,38298
484594,38298
505589,5400
562889,15605
562889,38298
478713,38298
494126,39
594002,6214
594002,38298
478629,8820
474304,38298
549441,3475
549441,21608
549441,38298
587129,30677
438996,7466
444967,18852
444967,38298
526587,18852
526587,38298
595571,36366
456432,30677
456432,38298
433886,33706
433886,13274
433886,28072
565228,33706
565228,22651
565228,13274
546335,24844
532762,33706
532762,8291
532389,27470
588186,2366
174447,21053
306278,221
375507,3023
375507,221
246716,221
94851,221
212375,221
326357,3023
326357,221
163623,221
286658,221
253086,221
349874,3023
349874,221
164880,221
548062,3023
548062,221
236773,5380
159477,3023
159477,39
159477,221
279012,157
206874,5530
165321,5812
595583,7345
595583,22560
541351,7992
521799,4932
513506,7345
517374,8923
517374,7345
520566,7345
520566,38505
566350,8820
550172,10768
550995,7345
550995,1391
543633,7345
543633,23205
527009,7345
527009,7466
563335,7345
563335,2366
552313,7345
552313,29194
558853,7345
558853,2366
552165,46500
516989,3218
516989,36763
565280,41423
395541,3218
501309,3218
516987,5400
441513,39
553178,17786
515101,39249
516990,3218
512122,34522
516988,30677
408936,30552
459462,140
325640,140
270755,140
305400,140
588533,140
398942,140
294283,140
550712,37959
385881,9881
430239,38809
575074,2726
555267,24883
548443,4304
548443,9
64406,9234
90270,7992
20896,9
20896,34
27204,3
23807,3
27563,3218
128998,3218
34799,42
28413,5657
24247,9
25309,9
132269,6214
33041,3888
129772,9
129772,34
129772,46567
335181,5812
30559,2366
166246,2366
393133,2366
374199,9234
257025,7992
291380,2366
229953,267
597278,267
597278,234
507445,10
415726,234
415726,10
466056,234
522357,234
213878,234
261673,234
261673,10
441787,234
441787,10
222166,5657
487433,8832
487433,234
110496,234
223236,6275
221507,17786
558205,234
267502,1391
267502,234
279286,8291
279286,234
566796,8291
566796,234
261612,5812
516908,5812
323671,29242
333995,34522
333995,24867
333995,234
491505,157
491505,21608
459034,22560
311755,12540
333142,21053
261132,34793
261132,21020
560311,21608
560311,21020
560313,21608
560313,21020
292531,2973
288429,157
288429,34793
310434,157
433162,157
377053,6194
561286,21608
561286,6194
561286,21020
289334,15889
465091,3475
319647,25074
