bg_id,numplayers,best,recommended,not_recommended
174430,1,128,563,299
174430,2,310,722,78
174430,3,633,434,31
174430,4,403,503,146
174430,32767,6,45,722
161936,1,19,109,369
161936,2,131,384,89
161936,3,136,380,37
161936,4,429,171,18
161936,32767,8,6,388
224517,1,0,28,338
224517,2,64,423,70
224517,3,351,210,4
224517,4,310,210,25
224517,32767,1,4,279
167791,1,178,902,328
167791,2,388,1115,181
167791,3,1161,500,33
167791,4,674,797,135
167791,5,87,534,781
167791,32767,9,6,896
291457,1,64,229,57
291457,2,201,188,7
291457,3,149,186,19
291457,4,101,183,52
291457,32767,1,1,246
233078,1,0,4,279
233078,2,0,14,273
233078,3,11,176,129
233078,4,98,190,54
233078,5,70,231,35
233078,6,287,53,16
233078,32767,5,28,162
220308,1,40,231,75
220308,2,90,313,33
220308,3,268,147,6
220308,4,226,151,26
220308,32767,0,8,183
187645,1,2,15,355
187645,2,494,26,2
187645,3,2,66,315
187645,4,20,139,248
187645,32767,0,3,313
162886,1,297,641,73
162886,2,774,322,7
162886,3,351,557,63
162886,4,102,435,371
162886,32767,4,61,579
182028,1,6,11,353
182028,2,158,354,38
182028,3,392,148,13
182028,4,95,258,161
182028,32767,0,1,324
115746,1,1,22,192
115746,2,312,20,3
115746,3,10,52,171
115746,4,27,83,136
115746,32767,1,1,182
193738,1,3,49,370
193738,2,125,457,52
193738,3,467,163,8
193738,4,171,337,88
193738,32767,0,1,335
12333,1,11,33,540
12333,2,751,45,7
12333,32767,6,17,526
169786,1,54,458,271
169786,2,46,578,319
169786,3,268,615,79
169786,4,733,259,17
169786,5,314,483,103
169786,32767,43,202,394
316554,1,28,219,120
316554,2,24,293,99
316554,3,317,121,5
316554,4,247,145,28
316554,32767,0,2,196
84876,1,6,53,625
84876,2,833,341,35
84876,3,374,661,30
84876,4,219,528,279
84876,32767,0,5,563
167355,1,17,228,114
167355,2,26,253,85
167355,3,86,274,14
167355,4,246,159,5
167355,5,211,129,42
167355,32767,2,15,248
173346,1,8,53,697
173346,2,923,21,3
173346,32767,5,5,726
124361,1,1,8,271
124361,2,48,303,72
124361,3,167,253,5
124361,4,302,137,7
124361,5,70,237,72
124361,32767,0,6,185
28720,1,0,4,249
28720,2,54,198,126
28720,3,197,249,14
28720,4,361,105,6
28720,32767,0,0,212
120677,1,0,15,562
120677,2,29,357,369
120677,3,146,580,57
120677,4,676,164,4
120677,5,188,462,88
120677,32767,7,15,409
177736,1,95,230,35
177736,2,163,220,10
177736,3,189,144,16
177736,4,54,178,85
177736,32767,2,6,205
266192,1,70,506,185
266192,2,337,652,67
266192,3,675,349,10
266192,4,329,538,108
266192,5,29,334,467
266192,32767,1,13,560
205637,1,219,432,61
205637,2,550,179,7
205637,3,114,269,165
205637,4,6,57,35
205637,32767,0,1,90
183394,1,29,260,83
183394,2,98,324,49
183394,3,251,179,7
183394,4,312,125,11
183394,5,64,220,77
183394,6,14,177,162
183394,32767,0,1,251
237182,1,1,67,412
237182,2,13,201,343
237182,3,134,425,46
237182,4,560,94,8
237182,32767,40,138,239
164928,1,0,18,147
164928,2,35,191,45
164928,3,104,140,6
164928,4,177,65,14
164928,32767,10,30,104
199792,1,15,196,92
199792,2,148,287,29
199792,3,268,153,9
199792,4,91,229,73
199792,32767,1,9,244
266507,1,0,2,51
266507,2,11,42,17
266507,3,20,36,3
266507,4,43,14,6
266507,32767,1,0,36
96848,1,723,308,28
96848,2,554,435,26
96848,3,155,499,244
96848,4,31,162,650
96848,32767,4,13,688
312484,1,52,162,55
312484,2,114,236,18
312484,3,233,107,10
312484,4,93,161,54
312484,32767,1,0,161
246900,1,0,2,93
246900,2,7,84,34
246900,3,23,80,17
246900,4,89,34,3
246900,5,22,74,14
246900,6,69,35,11
246900,32767,1,4,64
175914,1,1,2,162
175914,2,26,158,46
175914,3,145,82,5
175914,4,134,76,5
175914,5,21,97,71
175914,32767,2,6,138
3076,1,5,11,814
3076,2,78,474,511
3076,3,349,879,62
3076,4,986,360,6
3076,5,370,702,146
3076,32767,6,23,638
102794,1,11,178,117
102794,2,66,265,55
102794,3,168,221,14
102794,4,256,142,8
102794,5,83,189,89
102794,6,19,105,206
102794,7,13,57,260
102794,32767,1,3,221
170216,1,1,3,476
170216,2,8,184,405
170216,3,103,512,43
170216,4,607,99,8
170216,32767,105,179,154
285774,1,301,147,23
285774,2,320,130,6
285774,3,49,234,82
285774,4,6,104,250
285774,32767,1,0,294
192135,1,75,106,7
192135,2,75,97,10
192135,3,92,74,8
192135,4,17,85,52
192135,32767,1,0,122
31260,1,76,785,395
31260,2,344,1033,177
31260,3,951,633,31
31260,4,1063,526,37
31260,5,313,783,304
31260,32767,9,22,712
251247,1,5,61,105
251247,2,27,139,67
251247,3,120,126,4
251247,4,179,57,9
251247,32767,3,3,85
276025,1,26,141,31
276025,2,53,158,12
276025,3,148,69,6
276025,4,37,107,55
276025,32767,1,1,113
247763,1,32,155,64
247763,2,259,104,9
247763,3,127,183,20
247763,4,24,108,180
247763,32767,0,0,154
221107,1,6,25,98
221107,2,40,90,24
221107,3,56,77,6
221107,4,82,55,11
221107,32767,0,4,106
205059,1,38,186,64
205059,2,78,205,28
205059,3,170,130,9
205059,4,197,88,24
205059,5,51,130,87
205059,32767,1,4,204
256960,1,9,123,66
256960,2,25,120,59
256960,3,92,117,9
256960,4,152,70,2
256960,5,30,106,44
256960,32767,0,1,111
284083,1,1,2,297
284083,2,14,156,195
284083,3,105,250,40
284083,4,328,84,3
284083,5,32,186,84
284083,32767,0,3,206
185343,1,22,111,35
185343,2,43,148,8
185343,3,141,62,3
185343,4,70,97,23
185343,32767,0,0,117
126163,1,0,13,279
126163,2,69,317,50
126163,3,140,273,9
126163,4,327,99,16
126163,32767,1,13,212
2651,1,0,10,691
2651,2,19,232,663
2651,3,112,720,159
2651,4,756,326,7
2651,5,711,308,27
2651,6,201,556,173
2651,32767,2,12,491
55690,1,79,143,23
55690,2,90,146,7
55690,3,39,156,34
55690,4,159,94,35
55690,32767,3,22,178
216132,1,12,129,59
216132,2,44,188,36
216132,3,121,135,3
216132,4,171,83,9
216132,32767,1,0,124
184267,1,9,95,57
184267,2,47,161,19
184267,3,153,62,6
184267,4,56,99,50
184267,32767,2,1,121
164153,1,10,60,187
164153,2,183,111,25
164153,3,77,181,34
164153,4,54,178,57
164153,5,221,64,35
164153,32767,2,8,190
209010,1,1,31,126
209010,2,53,101,29
209010,3,41,120,11
209010,4,143,47,5
209010,32767,2,1,108
35677,1,17,265,153
35677,2,216,377,44
35677,3,495,162,7
35677,4,112,310,154
35677,5,12,108,391
35677,32767,0,2,304
180263,1,370,142,12
180263,2,270,213,30
180263,3,48,180,209
180263,4,8,87,333
180263,32767,1,2,367
244521,1,1,21,241
244521,2,69,268,39
244521,3,148,210,3
244521,4,288,80,6
244521,32767,23,39,160
342942,1,35,136,38
342942,2,198,82,11
342942,3,102,129,22
342942,4,23,91,130
342942,32767,0,2,156
125153,1,6,98,47
125153,2,33,137,30
125153,3,103,95,4
125153,4,107,78,17
125153,32767,0,0,88
521,1,0,11,127
521,2,141,54,1
521,3,2,47,101
521,4,133,53,6
521,32767,0,2,129
161533,1,4,69,33
161533,2,33,109,14
161533,3,117,44,1
161533,4,41,92,20
161533,32767,0,0,66
230802,1,5,23,705
230802,2,606,402,35
230802,3,440,522,20
230802,4,267,606,92
230802,32767,3,11,589
72125,1,2,15,334
72125,2,32,266,177
72125,3,85,357,53
72125,4,428,116,8
72125,5,125,305,65
72125,6,266,168,56
72125,32767,11,40,205
25613,1,5,33,302
25613,2,169,359,47
25613,3,434,165,13
25613,4,123,260,178
25613,32767,2,3,291
266810,1,44,145,40
266810,2,228,71,5
266810,3,76,145,35
266810,4,14,78,158
266810,32767,0,0,157
191189,1,80,198,37
191189,2,292,79,3
191189,3,58,195,40
191189,4,28,181,84
191189,32767,0,2,187
124742,1,2,6,280
124742,2,365,21,2
124742,32767,2,8,271
28143,1,14,104,482
28143,2,728,291,34
28143,3,342,566,43
28143,4,417,440,74
28143,32767,16,97,413
314040,1,2,13,38
314040,2,19,37,10
314040,3,23,30,3
314040,4,28,23,7
314040,32767,0,0,51
201808,1,5,107,202
201808,2,53,324,54
201808,3,301,152,4
201808,4,192,198,33
201808,32767,1,5,225
159675,1,49,93,18
159675,2,145,29,3
159675,32767,2,3,96
121921,1,325,386,55
121921,2,277,449,23
121921,3,300,345,40
121921,4,149,385,113
121921,32767,1,21,417
229853,1,10,99,66
229853,2,35,161,38
229853,3,107,120,5
229853,4,141,73,14
229853,32767,1,0,112
157354,1,4,63,343
157354,2,388,247,59
157354,3,252,343,24
157354,4,182,312,118
157354,32767,5,14,316
171623,1,1,13,215
171623,2,56,290,42
171623,3,141,214,2
171623,4,233,113,12
171623,32767,1,4,163
68448,1,4,15,1319
68448,2,117,370,1120
68448,3,472,1146,197
68448,4,1160,734,40
68448,5,1009,812,56
68448,6,455,1116,162
68448,7,381,1037,288
68448,32767,30,101,885
200680,1,8,100,37
200680,2,47,106,12
200680,3,69,81,5
200680,4,90,50,7
200680,32767,3,12,78
110327,1,1,10,379
110327,2,73,374,133
110327,3,352,255,11
110327,4,400,196,13
110327,5,101,311,101
110327,32767,6,32,278
62219,1,2,6,259
62219,2,25,124,195
62219,3,75,242,57
62219,4,280,143,7
62219,5,110,211,56
62219,6,100,145,121
62219,32767,1,2,195
182874,1,3,23,246
182874,2,412,94,8
182874,3,121,282,40
182874,4,10,97,310
182874,32767,0,0,234
236457,1,17,177,81
236457,2,20,213,85
236457,3,112,192,14
236457,4,229,77,8
236457,5,61,173,31
236457,32767,4,4,131
122515,1,0,4,159
122515,2,63,201,45
122515,3,120,161,6
122515,4,200,92,5
122515,5,43,151,52
122515,6,17,114,98
122515,32767,0,1,130
264220,1,206,121,15
264220,2,202,123,12
264220,3,35,147,106
264220,4,6,53,227
264220,32767,0,3,244
324856,1,0,0,44
324856,2,3,22,27
324856,3,14,41,2
324856,4,42,18,0
324856,5,13,32,5
324856,32767,0,0,37
93,1,2,1,321
