ver_id,name_index,name,sortindex
280038,1,English second edition,1
80837,1,Chinese deluxe edition,1
297010,1,Eagle-Gryphon English-only edition,1
21364,1,FRED/Warfrog English/French/German first edition,1
338742,1,Brasilian edition,1
24188,1,"Lacerta ""Gra roku 2007"" edition",1
372458,1,Brazilian edition,1
415722,1,Complete edition,1
279473,1,Crokinole.de Blue Moon edition,1
231766,1,"English second edition, second printing",1
162771,1,"English second edition, first printing",1
593293,1,"English edition, sixth printing",1
401298,1,"English edition, fifth printing",1
210690,1,ケイラス,1
310025,1,蒙巴薩,1
25487,1,Tigre & Euphrate,1
167690,1,Dutch second edition,1
397449,1,Commodore edition,1
365815,1,Captain edition,1
427707,1,Jubiläumsedition,1
450857,1,That's Pretty Clever,1
416382,1,That's Pretty Clever,1
521290,1,Ganz Schön Clever,1
406548,1,恆河王侯,1
28183,1,Railways of the World first edition,1
79740,1,Railways of the World second edition,1
26956,1,Classic Sixth Edition,1
398483,1,English second edition,1
81643,1,Carcassonne,1
170612,1,"English edition 2002 with River expansion, cover with SdJ 'Kritikerpreis' x2",1
272170,1,Carcassonne: Mini kiegészítéssel (A folyó + Az apát),1
213638,1,Wsiąść do Pociągu USA,1
363131,1,Blue-Orange Giant edition,1
366986,1,English giant-sized edition,1
369176,1,German SdJ edition,1
388291,1,German XXL edition,1
340919,1,U.S. Multilingual edition,1
395311,1,Nordic Game of the Year edition,1
523350,1,Kingdomino,1
523350,2,Доминошное Королевство,1
388766,1,Canadian French-English edition,1
49474,1,"English edition with Kritikerpreis: Special Award, New Worlds of Gaming, Jury SdJ",1
296597,1,Russian edition,1
333494,1,蟲蟲攻防戰,1
347467,1,First edition,1
386368,1,Swedish Version 2.0,1
371871,1,Édition Québécoise,1
359473,1,Onslaught 2 Edition,1
569424,1,Onslaught 3 Edition,1
357017,1,US edition,1
398952,1,UK edition,1
174280,1,English Game of the Year edition,1
294178,1,English Game of the Year edition,1
177460,1,English Tempest edition,1
387086,1,Ken Niimura edition,1
53280,1,Fantasy Flight Edition,1
346839,1,Canadian French/English first edition,1
352089,1,Canadian second edition,1
142978,1,Japanese first edition,1
235483,1,Standard edition,1
102788,1,Se v€nde,1
392654,1,51e État: Seconde édition,1
37627,1,English deluxe edition,1
455802,1,Limited Edition,1
288995,1,English\French first edition,1
316259,1,新・キング・オブ・トーキョー,1
257464,1,Galápagos Brazilian first edition,1
414781,1,Galápagos Brazilian second edition,1
372583,1,MESA Portugal edition,1
483046,1,English anniversary edition,1
497421,1,French anniversary edition,1
439598,1,Twice As Clever,1
521289,1,Doppelt so Clever,1
404013,1,Canadian bilingual edition,1
498137,1,Gothic Salon edition 1961,1
498135,1,Conqueror edition 1962,1
498136,1,Conqueror edition 1980,1
367490,1,English-only first edition,1
299642,1,Multilingual first edition,1
390924,1,Multilingual second edition,1
90203,1,Amigo Second Edition,1
387050,1,Polish ninth edition,1
202685,1,Queen German SdJ edition,1
194975,1,Carcassonne: Jaegere og Samlere,1
194975,2,Carcassonne: Jegere og Samlere,1
289194,1,English revised edition,1
296554,1,Coup:  The Dystopian Universe,1
180703,1,Triumph & Tragedy: European balance of power,1
398269,1,Deluxe edition,1
23701,1,Koyba,1
223105,1,Escape: Chrámová Kletba,1
223105,2,Escape: Chrámová Kliatba,1
41866,1,6 takes!,1
41866,2,6...pega!,1
20516,1,6 qui prend!,1
20516,2,6 takes!,1
20516,3,6...le prendi!,1
20519,1,6 Võtab,1
20519,2,6. Ņem!,1
135468,1,Nelospelit Finnish edition,1
358580,1,東海道 Tokaido,1
449560,1,Kickstarter edition,1
387737,1,US edition,1
398961,1,UK edition,1
398969,1,Canadian bilingual edition,1
335014,1,Parallel Games Entrepeneur edition,1
291104,1,English Wargame Vault reprint edition,1
266660,1,Deluxe Edition,1
312946,1,オー・マイ・グーッズ！,1
213158,1,Educational Insights English edition 2005,1
441026,1,Mattel Japanese DX edition,1
97991,1,Dutch tin box edition,1
34025,1,Rio Grande Games Multilingual Edition,1
514193,1,Perudo: Comics,1
444177,1,Third printing,1
281864,1,空中之城,1
337045,1,Japanese edition,1
64197,1,Scandinavian edition,1
596990,1,Golden Geek Edition,1
404142,1,New Edition,1
220804,1,惨劇RoopeR X,1
130498,1,Crisloid edition,1
132528,1,Educa Spanish Edition,1
130495,1,Schmidt Wood Edition,1
297821,1,Les Châteaux de Bourgogne : Le jeu de carte,5
50223,1,Alice in Wonderland Parade,1
344075,1,Dungeon Master Edition,1
307052,1,Merchant edition,1
296400,1,MindWare English edition 2006 (blue logo),1
469527,1,Premium Edition,1
354907,1,花舍物語,1
387139,1,Traditional Chinese edition,1
82374,1,English tin edition,1
70393,1,Chinese edition,1
323505,1,本州,1
600316,1,Luxury Limited Edition,1
21963,1,Deluxe edition,1
109873,1,Dutch Speciale Benelux edition,1
277068,1,English-only anniversary edition,1
396151,1,English retail edition,1
403775,1,English Kickstarter edition,1
401835,1,"German deluxe edition, second printing",1
265943,1,English Ultimate edition,1
447775,1,2nd printing Version 1.1,1
466070,1,Fog of Love – Romantische Komödie als Brettspiel,1
411336,1,Kwanchai Moriya Edition,1
411336,2,Target Exclusive,1
109395,1,Italian second edition,1
101990,1,烏邦果,1
25451,1,Fuggi Fuggi!,1
365074,1,Les Châteaux de Bourgogne: Le jeu de dés,5
450937,1,First edition,1
406516,1,Blue Orange English edition,1
412280,1,First edition,1
175598,1,Grow Portuguese edition 1977,1
117435,1,First Spanish Edition,1
239869,1,化裝舞會,1
27706,1,Hungarian first little box edition,1
29289,1,English unlimited edition,1
521131,1,Ishtar: Jardines de Babilonia,1
370426,1,Ridley's edition,1
167415,1,Level 99 Minigame Library edition,1
205948,1,daVinci English/Italian edition 2003,1
313473,1,dV Giochi English/Italian fourth edition,1
88134,1,Steve Jackson edition 1982,1
31408,1,F.X. Schmid German edition,1
394106,1,Little Songbirds,1
57880,1,Bambus German/English edition,1
367421,1,Gigamic Giant deluxe edition,1
363947,1,Waterproof edition,1
145501,1,Ravensburger French Edition,1
23981,1,German First Edition,1
24931,1,King of Siam,1
443609,1,Wettlauf nach El Dorado: Die Goldenen Tempel,1
153382,1,Cathay pocket magnetic edition,1
287846,1,All-Aboard Games Handmade 08,1
395874,1,Argentinian edition,1
434092,1,Life Bundle,1
132985,1,루미큐브 셀렉트,1
364809,1,Pressman Attache edition,1
289646,1,Classic Line edition,1
489796,1,Kickstarter Exclusive Edition,1
279240,1,Kickstarter edition,1
23723,1,German third edition,1
449425,1,Spanish edition,1
332297,1,Estoril 1942: Un juego de espias,1
264909,1,MB Italian edition,1
351591,1,Japanese edition,1
499019,1,Chinese 10th Anniversary foil edition,1
69402,1,Nordic edition,1
307954,1,Daffodil edition,1
531855,1,Fourth edition,1
64188,1,Classic Battletech A Game of Armored Combat,1
92057,1,English 25th Anniversary edition 2011,1
103535,1,The Adventurers: La Pyramide d'Horus,5
349772,1,Great Rebuilding Edition,1
328604,1,Deluxe Second Edition,1
21756,1,Rio Grande English edition,1
338664,1,Spanish / portuguese first edition,1
528473,1,Comrade edition,1
405340,1,Milton Bradley English edition 1990,1
39050,1,Foreign Edition (Spanish),1
99316,1,Evertide Edition,1
44202,1,US edition,1
419340,1,UK edition,1
37865,1,French edition,1
31390,1,La Traversée du Delta,4
439357,1,Centenary Edition,1
26085,1,Family Games edition,1
428071,1,もっとホイップを,1
95927,1,Fantasy Flight Edition 2011,1
212735,1,Novembre Rouge,1
337044,1,Japanese edition,1
282693,1,"English Revised Edition, 4th printing",1
256649,1,"English Revised Edition, 2nd printing",1
276500,1,"English Revised Edition, 3rd printing",1
190938,1,150th Anniversary Edition,1
132433,1,East German edition,1
27602,1,Third printing,1
48413,1,French/English edition,1
301115,1,All-Aboard Games Handmade 09,1
509988,1,English deluxe edition 2013,1
218960,1,English deluxe edition 2014,1
280973,1,German deluxe edition,1
275614,1,Target edition,1
74599,1,UK/European edition,1
370001,1,Barnes & Noble edition,1
139747,1,Catturare il famoso ladro di opere d'arte,1
467283,1,歐洲十日遊,1
402866,1,バスルートをつくろう,1
366815,1,EN/FR/GE/NL edition,1
399818,1,Red edition,1
111900,1,Parker Finnish/Swedish edition 2003,1
376580,1,Designer's edition,1
485162,1,Commnad Japan edition,1
22385,1,English first edition (Mensa Select),1
397684,1,Maszyny Parowe,1
236157,1,Boggle Reinvention,1
28293,1,Ravensburger German first edition 1988,1
220740,1,English-only first edition,1
236951,1,"Panzergruppe Guderian: De Slag van Smolensk, Juli 1941",1
439206,1,Q-System: Sherlock – Dernier Appel,1
248528,1,아브라카 왓?,1
320486,1,圓樓,1
450826,1,圓樓,1
192290,1,Kości opowieści,1
561454,1,The Impoverished Pilgrim's Edition,5
333496,1,造王者！,1
233331,1,First Season,1
355912,1,Season 2,1
355913,1,Season 3,1
504079,1,Unlock! La Élite,1
410770,1,Version 3,1
243121,1,Car Wars Classic,1
599896,1,Breaking Games English 0081507 edition,1
599896,2,Breaking Games English 0309685 edition,1
482193,1,English second edition,1
439207,1,Q-System: Sherlock – La Tombe de l'Archéologue,1
370780,1,西安,1
199102,1,Geistertreppe,1
199102,2,L'eschalier Hanté,1
297411,1,Delete,1
427284,1,German version,1
329744,1,Metal pieces edition,1
72031,1,Hazgaard multilingual edition,1
20984,1,Multilingual first edition,1
397118,1,Blaue Bohne special edition,1
24627,1,Matagot second edition,1
311023,1,Chinese edition,1
159598,1,Ravensburger Chinese edition,1
370211,1,English revised edition,1
534562,1,English 4th Edition,1
28594,1,Fantasmagorie!,1
27985,1,Ile Boule de Feu,1
283648,1,花札,1
428789,1,横濱紳商伝デュエ,1
510114,1,German second edition,1
336021,1,First edition,1
180158,1,Alcatraz: Il Capro Espiatorio,1
532768,1,Boxed Set,1
151616,1,Fortune,1
87972,1,Maritime Silk Road,1
20607,1,렉시오,1
186365,1,Gibson & Sons edition,1
41913,1,German first edition,1
331292,1,Italian edition,1
217486,1,English edition 1998,1
222825,1,Bonn from the Roman Age until Today,1
397435,1,Gilded edition,1
446670,1,French Cannes festival edition,1
599784,1,Magic Kingdom Park Edition,1
395735,1,Retail edition,1
248802,1,English first edition,1
259358,1,Chinese edition,1
504081,1,Unlock! La Quinta Avenida,1
186199,1,Irish edition,1
265639,1,Kości opowieści: Akcje,1
191147,1,Ventura Australian edition,1
439208,1,Q-System: Sherlock – Mort un 4 Juillet,1
125852,1,Pressman  Junior Edition,1
546558,1,English edition,1
546558,2,English Kickstarter & Convention,1
214540,1,Grolsch Dutch edition,1
290512,1,DHL Dutch edition,1
30042,1,UK edition,1
302288,1,Armadöra,1
437389,1,German REWE edition,1
225637,1,First edition,1
101962,1,Mini Orchard,1
458171,1,Deluxe Edition,1
